iter	Passed	Remaining
403	10046	14820
404	10070	14794
405	10094	14769
406	10120	14744
407	10145	14720
408	10169	14694
409	10192	14667
410	10215	14640
411	10241	14616
412	10268	14595
413	10296	14574
414	10324	14554
415	10352	14533
416	10380	14512
417	10406	14489
418	10431	14465
419	10457	14441
420	10482	14416
421	10506	14389
422	10529	14363
423	10553	14336
424	10577	14310
425	10600	14283
426	10627	14261
427	10651	14235
428	10675	14209
429	10699	14183
430	10723	14157
431	10749	14133
432	10775	14110
433	10799	14084
434	10825	14060
435	10849	14034
436	10874	14010
437	10901	13988
438	10926	13962
439	10950	13936
440	10974	13911
441	10997	13884
442	11024	13860
443	11048	13835
444	11072	13809
445	11097	13784
446	11121	13758
447	11145	13732
448	11173	13712
449	11200	13689
450	11227	13667
451	11251	13641
452	11277	13618
453	11302	13593
454	11326	13567
455	11350	13541
456	11375	13515
457	11401	13492
458	11428	13470
459	11456	13449
460	11480	13423
461	11507	13400
462	11535	13379
463	11563	13357
464	11590	13334
465	11618	13313
466	11642	13288
467	11672	13268
468	11699	13246
469	11726	13223
470	11750	13197
471	11773	13170
472	11798	13145
473	11827	13125
474	11851	13098
475	11875	13072
476	11899	13046
477	11923	13020
478	11949	12997
479	11976	12974
480	11999	12947
481	12023	12921
482	12046	12894
483	12070	12868
484	12095	12843
485	12122	12821
486	12146	12795
487	12171	12770
488	12195	12744
489	12219	12718
490	12244	12692
491	12272	12671
492	12298	12647
493	12322	12622
494	12347	12596
495	12371	12570
496	12402	12551
497	12429	12528
498	12456	12506
499	12481	12481
500	12505	12455
501	12529	12429
502	12553	12403
503	12577	12377
504	12603	12353
505	12628	12328
506	12652	12303
507	12675	12276
508	12698	12249
509	12722	12223
510	12747	12198
511	12773	12174
512	12797	12148
513	12822	12123
514	12847	12098
515	12871	12073
516	12897	12049
517	12927	12029
518	12953	12004
519	12978	11979
520	13002	11954
521	13026	11928
522	13049	11901
523	13076	11878
524	13099	11852
525	13123	11825
526	13146	11799
527	13172	11775
528	13198	11751
529	13225	11728
530	13252	11705
531	13281	11683
532	13308	11660
533	13332	11635
534	13363	11614
535	13392	11593
536	13419	11570
537	13445	11546
538	13470	11521
539	13495	11496
540	13523	11473
541	13548	11448
542	13578	11428
543	13602	11402
544	13628	11378
545	13653	11352
546	13679	11328
547	13703	11303
548	13729	11278
549	13757	11256
550	13785	11233
551	13809	11207
552	13833	11182
553	13857	11156
554	13880	11129
555	13904	11103
556	13929	11078
557	13953	11052
558	13980	11029
559	14005	11004
560	14028	10977
561	14051	10950
562	14074	10924
563	14097	10898
564	14123	10873
565	14146	10847
566	14170	10821
567	14197	10798
568	14222	10773
569	14249	10749
570	14278	10727
571	14302	10702
572	14327	10677
573	14353	10652
574	14379	10628
575	14403	10602
576	14426	10575
577	14450	10550
578	14478	10527
579	14502	10501
580	14526	10476
581	14550	10450
582	14574	10424
583	14597	10398
584	14621	10372
585	14643	10345
586	14667	10319
587	14693	10295
588	14718	10270
589	14745	10246
590	14768	10220
591	14792	10194
592	14815	10168
593	14839	10142
594	14863	10117
595	14887	10091
596	14910	10065
597	14935	10040
598	14963	10017
599	14990	9993
600	15015	9968
601	15040	9943
602	15067	9919
603	15093	9895
604	15117	9870
605	15140	9843
606	15163	9817
607	15187	9791
608	15211	9766
609	15234	9740
610	15258	9714
611	15281	9688
612	15312	9667
613	15338	9642
614	15361	9616
615	15384	9590
616	15408	9564
617	15437	9542
618	15465	9519
619	15491	9494
620	15515	9469
621	15539	9443
622	15562	9417
623	15586	9391
624	15610	9366
625	15633	9340
626	15658	9315
627	15685	9291
628	15710	9266
629	15739	9243
630	15763	9218
631	15788	9193
632	15812	9167
633	15837	9142
634	15860	9116
635	15884	9090
636	15913	9068
637	15938	9043
638	15964	9019
639	15988	8993
640	16012	8967
641	16034	8941
642	16059	8916
643	16082	8890
644	16105	8864
645	16137	8843
646	16164	8819
647	16194	8797
648	16223	8773
649	16248	8748
650	16272	8723
651	16295	8697
652	16319	8671
653	16343	8646
654	16366	8620
655	16390	8595
656	16415	8570
657	16443	8546
658	16468	8521
659	16495	8497
660	16520	8472
661	16547	8448
662	16570	8422
663	16596	8398
664	16621	8373
665	16646	8348
666	16673	8324
667	16696	8298
668	16720	8272
669	16743	8247
670	16767	8221
671	16790	8195
672	16814	8169
673	16837	8144
674	16860	8118
675	16883	8092
676	16909	8067
677	16932	8041
678	16957	8016
679	16979	7990
680	17003	7964
681	17026	7938
682	17049	7913
683	17073	7887
684	17097	7862
685	17127	7839
686	17153	7815
687	17177	7789
688	17207	7766
689	17234	7743
690	17261	7718
691	17285	7693
692	17309	7668
693	17338	7644
694	17363	7619
695	17386	7594
696	17411	7569
697	17439	7545
698	17464	7520
699	17489	7495
700	17514	7470
701	17538	7445
702	17561	7419
703	17585	7393
704	17614	7370
705	17641	7346
706	17667	7321
707	17698	7299
708	17726	7275
709	17749	7249
710	17772	7224
711	17797	7198
712	17821	7173
713	17849	7149
714	17874	7124
715	17901	7100
716	17931	7077
717	17958	7053
718	17984	7028
719	18010	7004
720	18034	6978
721	18059	6953
722	18083	6928
723	18106	6902
724	18129	6876
725	18153	6851
726	18181	6827
727	18205	6802
728	18229	6776
729	18253	6751
730	18279	6726
731	18306	6702
732	18329	6676
733	18353	6651
734	18376	6625
735	18401	6600
736	18424	6574
737	18452	6551
738	18477	6525
739	18501	6500
740	18526	6475
741	18550	6450
742	18574	6424
743	18599	6399
744	18625	6375
745	18651	6350
746	18677	6325
747	18705	6301
748	18729	6276
749	18754	6251
750	18778	6226
751	18801	6200
752	18827	6175
753	18851	6150
754	18875	6125
755	18898	6099
756	18921	6073
757	18946	6048
758	18972	6024
759	18995	5998
760	19019	5973
761	19044	5948
762	19068	5923
763	19092	5897
764	19115	5872
765	19139	5846
766	19162	5821
767	19185	5795
768	19218	5773
769	19245	5748
770	19272	5724
771	19299	5699
772	19325	5675
773	19349	5649
774	19376	5625
775	19400	5600
776	19425	5575
777	19452	5550
778	19480	5526
779	19504	5501
780	19528	5476
781	19553	5450
782	19576	5425
783	19600	5400
784	19624	5374
785	19647	5349
786	19671	5324
787	19695	5298
788	19721	5274
789	19746	5248
790	19769	5223
791	19793	5198
792	19816	5172
793	19840	5147
794	19864	5122
795	19887	5096
796	19910	5071
797	19936	5046
798	19962	5021
799	19985	4996
800	20009	4971
801	20033	4946
802	20059	4921
803	20083	4895
804	20113	4872
805	20136	4846
806	20163	4822
807	20187	4797
808	20215	4772
809	20242	4748
810	20266	4722
811	20290	4697
812	20314	4672
813	20337	4647
814	20361	4621
815	20389	4597
816	20416	4573
817	20443	4548
818	20470	4524
819	20495	4499
820	20518	4473
821	20545	4449
822	20573	4424
823	20596	4399
824	20623	4374
825	20654	4350
826	20684	4327
827	20713	4302
828	20740	4278
829	20765	4253
830	20789	4227
831	20821	4204
832	20847	4179
833	20874	4154
834	20901	4130
835	20925	4104
836	20953	4080
837	20979	4055
838	21004	4030
839	21028	4005
840	21053	3980
841	21077	3955
842	21100	3929
843	21124	3904
844	21146	3879
845	21170	3853
846	21196	3828
847	21219	3803
848	21243	3778
849	21267	3753
850	21290	3727
851	21313	3702
852	21336	3677
853	21364	3652
854	21389	3627
855	21420	3603
856	21449	3579
857	21475	3554
858	21500	3529
859	21524	3504
860	21549	3478
861	21572	3453
862	21601	3429
863	21625	3404
864	21649	3378
865	21676	3354
866	21703	3329
867	21727	3304
868	21752	3279
869	21775	3253
870	21799	3228
871	21822	3203
872	21854	3179
873	21877	3154
874	21900	3128
875	21924	3103
876	21954	3079
877	21977	3053
878	22000	3028
879	22023	3003
880	22046	2977
881	22070	2952
882	22093	2927
883	22117	2902
884	22141	2877
885	22164	2851
886	22187	2826
887	22216	2802
888	22243	2777
889	22269	2752
890	22295	2727
891	22320	2702
892	22348	2677
893	22374	2652
894	22402	2628
895	22431	2603
896	22456	2578
897	22480	2553
898	22504	2528
899	22527	2503
900	22551	2477
901	22575	2452
902	22598	2427
903	22624	2402
904	22653	2378
905	22683	2353
906	22710	2328
907	22738	2303
908	22766	2279
909	22793	2254
910	22816	2229
911	22840	2203
912	22864	2178
913	22888	2153
914	22914	2128
915	22938	2103
916	22963	2078
917	22987	2053
918	23014	2028
919	23040	2003
920	23064	1978
921	23089	1953
922	23113	1928
923	23141	1903
924	23167	1878
925	23192	1853
926	23216	1828
927	23241	1803
928	23265	1778
929	23289	1752
930	23312	1727
931	23336	1702
932	23360	1677
933	23383	1652
934	23406	1627
935	23432	1602
936	23463	1577
937	23487	1552
938	23510	1527
939	23536	1502
940	23562	1477
941	23586	1452
942	23609	1427
943	23634	1402
944	23658	1376
945	23684	1351
946	23710	1326
947	23733	1301
948	23757	1276
949	23781	1251
950	23807	1226
951	23831	1201
952	23855	1176
953	23880	1151
954	23904	1126
955	23928	1101
956	23955	1076
957	23979	1051
958	24002	1026
959	24026	1001
960	24050	976
961	24073	950
962	24097	925
963	24120	900
964	24144	875
965	24167	850
966	24190	825
967	24217	800
968	24241	775
969	24264	750
970	24287	725
971	24311	700
972	24334	675
973	24358	650
974	24381	625
975	24405	600
976	24428	575
977	24452	550
978	24478	525
979	24506	500
980	24531	475
981	24557	450
982	24581	425
983	24606	400
984	24631	375
985	24655	350
986	24679	325
987	24706	300
988	24730	275
989	24754	250
990	24778	225
991	24801	200
992	24828	175
993	24852	150
994	24875	125
995	24899	99
996	24924	74
997	24949	49
998	24972	24
999	24995	0
