SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
-0.42,0,-0.224,-0.42,-0.224,0,0,-0.224,0,0,0,0,-0.473,0,-0.342,-0.342,-0.224,0,0,-0.224
-0.306,0,-0.257,-0.257,0,-0.197,0,-0.257,-0.12,-0.439,-0.12,-0.257,-0.197,-0.257,-0.413,-0.257,0,-0.197,0,-0.12
0,0,0,-0.285,-0.415,-0.285,0,0,0,-0.285,0,0,-0.523,0,-0.285,0,-0.415,-0.285,0,0
-0.359,0,-0.181,-0.457,0,-0.285,0,0,0,-0.359,0,-0.181,-0.415,-0.285,-0.181,0,-0.181,-0.359,0,0
-0.342,0,-0.342,-0.224,-0.224,-0.224,-0.224,0,0,-0.224,-0.224,-0.342,0,-0.42,0,0,-0.42,0,-0.224,0
0,0,-0.25,-0.25,-0.25,0,0,0,0,-0.375,0,-0.25,-0.453,-0.25,-0.453,-0.375,0,0,0,-0.25
0,0,-0.26,0,-0.26,-0.509,0,0,0,-0.388,0,-0.26,0,0,0,-0.509,-0.26,-0.26,0,0
-0.471,0,0,-0.375,-0.299,-0.299,0,-0.191,0,-0.299,0,-0.191,-0.299,-0.191,-0.191,-0.375,0,0,0,-0.191
-0.396,0,-0.232,-0.232,0,-0.144,0,-0.144,0,-0.232,-0.299,-0.144,-0.396,-0.299,-0.352,0,-0.232,-0.144,0,-0.352
-0.195,-0.411,-0.281,-0.281,-0.07,-0.381,0,-0.119,-0.07,-0.195,0,-0.16,-0.326,-0.07,-0.255,-0.304,-0.227,-0.255,0,-0.16
-0.314,0,0,0,-0.314,-0.314,0,-0.314,-0.314,-0.314,0,0,-0.314,0,-0.447,-0.314,0,-0.314,0,0
-0.509,0,0,0,0,-0.388,0,0,0,-0.464,0,0,-0.26,0,-0.26,-0.388,-0.26,-0.26,0,0
0,0,-0.431,-0.431,0,-0.431,0,-0.299,0,-0.299,0,0,0,0,-0.299,-0.299,-0.299,-0.299,0,0
-0.447,0,0,0,-0.314,-0.314,0,0,0,-0.314,-0.314,0,-0.447,0,-0.447,0,0,0,0,-0.314
-0.292,0,-0.367,-0.292,0,0,0,-0.186,-0.186,-0.464,0,-0.292,-0.186,0,-0.186,-0.367,-0.367,0,0,-0.186
-0.26,0,-0.26,0,-0.26,-0.388,-0.26,-0.26,-0.388,0,-0.388,0,-0.26,0,-0.26,0,0,0,-0.26,-0.26
-0.314,0,-0.511,-0.314,-0.447,0,0,-0.314,0,0,0,-0.314,0,0,-0.314,-0.314,0,0,0,0
-0.314,0,-0.447,0,-0.447,-0.447,0,0,0,-0.314,-0.314,0,-0.314,0,0,-0.314,0,0,0,0
0,0,-0.415,-0.285,-0.488,-0.415,-0.285,0,0,-0.285,0,-0.285,0,0,-0.285,-0.285,0,0,0,0
-0.404,-0.16,-0.16,-0.16,0,-0.381,-0.255,0,-0.16,-0.293,0,0,-0.425,-0.16,-0.211,-0.381,-0.096,-0.16,-0.16,0
-0.299,0,0,0,-0.431,-0.299,0,0,0,0,0,0,-0.528,0,-0.299,-0.299,-0.299,-0.299,0,0
0,-0.25,-0.156,0,-0.156,-0.418,-0.156,-0.156,-0.32,-0.25,-0.25,0,-0.156,-0.156,-0.375,-0.453,0,-0.25,0,0
-0.447,0,0,0,-0.314,-0.314,0,-0.314,0,-0.314,0,0,-0.314,0,-0.447,-0.447,0,0,0,0
-0.232,0,0,0,-0.232,-0.352,-0.232,-0.352,0,-0.352,0,-0.232,-0.232,0,-0.431,-0.352,0,-0.232,-0.232,0
0,0,0,0,-0.476,-0.272,0,0,-0.272,0,0,0,-0.401,-0.401,0,-0.401,0,0,0,-0.476
0,0,-0.314,0,0,-0.531,-0.314,-0.447,0,-0.447,0,0,0,0,0,-0.314,0,0,0,0
-0.309,0,-0.309,-0.24,-0.15,-0.24,-0.15,-0.15,-0.309,-0.24,0,0,-0.24,-0.309,0,-0.363,-0.309,-0.15,-0.15,-0.24
-0.427,0,-0.115,-0.449,-0.115,-0.449,-0.115,0,-0.188,-0.115,-0.115,0,-0.336,-0.295,-0.247,-0.115,-0.188,0,-0.115,0
-0.314,0,-0.203,-0.314,-0.392,-0.314,0,0,0,0,0,0,-0.203,0,-0.486,-0.447,0,-0.314,0,0
0,0,-0.342,-0.385,-0.138,-0.138,-0.138,0,-0.138,-0.385,0,-0.289,-0.224,-0.289,-0.224,-0.289,-0.138,-0.289,0,-0.289
-0.292,0,-0.292,-0.186,-0.186,-0.292,0,-0.292,-0.367,-0.367,0,0,-0.292,0,-0.186,-0.464,-0.186,0,0,0
-0.299,0,-0.431,0,0,0,0,-0.299,-0.299,-0.299,-0.299,0,0,0,-0.528,-0.299,0,0,0,0
0,0,-0.272,0,-0.401,-0.401,0,-0.272,-0.272,-0.272,0,0,-0.272,0,-0.401,0,-0.272,-0.272,0,-0.272
-0.442,0,0,0,-0.24,-0.442,-0.24,0,-0.24,-0.363,0,0,-0.24,-0.363,0,-0.363,0,-0.24,0,0
-0.26,0,-0.26,0,-0.26,0,0,-0.26,-0.26,-0.388,-0.26,0,-0.26,-0.26,-0.388,-0.388,0,0,0,-0.26
-0.352,0,-0.232,-0.232,0,-0.232,0,-0.232,0,-0.431,-0.232,-0.352,-0.232,0,-0.232,-0.352,0,-0.352,0,0
0,0,-0.314,0,-0.314,-0.314,0,0,-0.314,-0.314,-0.314,0,-0.447,0,-0.314,-0.314,0,0,0,-0.314
0,0,0,-0.314,-0.447,-0.314,-0.314,0,0,-0.314,0,0,-0.314,-0.314,-0.314,-0.314,0,0,0,-0.314
-0.464,0,-0.292,-0.292,0,0,0,0,-0.186,-0.423,0,-0.186,-0.186,-0.292,0,-0.292,-0.292,-0.186,0,-0.292
-0.375,0,-0.375,0,-0.191,-0.431,-0.191,0,-0.191,-0.375,0,-0.191,-0.191,0,-0.299,-0.299,0,-0.191,-0.191,0
-0.203,-0.314,-0.203,0,-0.203,-0.511,0,-0.203,-0.203,-0.314,-0.314,0,-0.203,0,-0.203,-0.314,0,-0.203,0,0
-0.156,-0.25,-0.25,-0.25,0,-0.25,-0.32,-0.25,-0.156,-0.418,0,-0.25,0,-0.156,-0.32,-0.25,0,-0.32,-0.156,0
-0.42,-0.342,-0.224,0,-0.342,-0.224,0,-0.342,-0.224,0,0,0,-0.224,0,-0.42,0,0,-0.42,0,0
0,0,-0.415,0,-0.285,-0.285,-0.285,0,0,-0.285,0,-0.285,0,-0.415,-0.285,-0.415,0,0,0,-0.285
-0.411,0,-0.216,-0.332,-0.216,-0.216,-0.332,0,-0.216,-0.216,0,0,-0.332,0,-0.216,-0.332,-0.216,-0.216,-0.216,0
0,0,-0.388,0,-0.388,-0.509,0,0,0,0,-0.26,-0.388,0,0,-0.26,-0.388,0,-0.26,0,0
-0.144,-0.232,-0.144,-0.144,0,-0.299,0,-0.144,-0.299,-0.232,0,-0.299,-0.459,0,-0.352,-0.144,-0.144,0,-0.396,-0.144
-0.235,-0.375,-0.235,-0.124,0,-0.264,-0.124,-0.124,-0.264,-0.264,-0.124,-0.073,-0.203,-0.203,-0.124,-0.408,-0.264,-0.291,-0.124,-0.124
-0.314,0,-0.314,0,-0.314,-0.314,0,0,0,-0.447,0,0,-0.314,0,-0.511,0,-0.314,0,0,0
-0.348,-0.197,-0.257,-0.306,-0.197,-0.257,-0.197,0,-0.257,-0.257,-0.197,-0.197,-0.257,-0.12,-0.257,-0.12,-0.257,-0.257,-0.12,0
0,-0.431,0,0,-0.299,-0.299,0,0,0,-0.299,0,-0.299,-0.299,0,-0.431,-0.299,0,0,0,-0.431
-0.24,0,-0.309,0,-0.309,-0.15,0,0,-0.15,-0.309,0,-0.15,-0.309,-0.309,-0.309,-0.309,-0.24,-0.309,-0.15,-0.24
0,0,-0.285,-0.53,0,0,0,-0.285,0,-0.285,0,-0.285,-0.285,0,0,-0.285,-0.285,-0.285,0,0
-0.136,0,0,-0.415,-0.136,-0.285,-0.136,-0.136,-0.285,-0.136,-0.22,-0.136,-0.285,0,-0.337,-0.285,-0.285,-0.285,-0.136,-0.22
-0.332,0,-0.332,-0.411,-0.216,-0.216,0,-0.216,0,0,0,0,-0.216,-0.332,-0.332,-0.411,0,0,-0.216,-0.216
-0.299,0,0,-0.299,-0.431,-0.5,-0.299,-0.299,0,0,0,-0.431,0,0,-0.299,0,0,0,0,0
-0.235,0,-0.412,-0.281,-0.108,-0.356,-0.108,0,-0.235,-0.356,-0.108,-0.281,0,-0.178,-0.235,-0.356,-0.281,0,0,-0.108
-0.285,0,0,-0.285,0,0,-0.285,-0.285,-0.285,-0.415,0,-0.285,-0.285,0,-0.415,0,0,-0.285,0,-0.285
-0.203,0,-0.392,-0.203,0,-0.314,-0.203,-0.392,0,-0.314,-0.203,-0.314,-0.203,0,-0.203,-0.314,0,-0.203,0,-0.203
-0.285,0,-0.415,-0.285,-0.285,0,0,0,0,0,-0.285,-0.285,-0.415,-0.415,-0.285,0,-0.285,0,0,0
0,0,0,-0.216,0,-0.332,0,0,0,-0.411,0,-0.216,-0.216,0,-0.411,-0.521,-0.332,-0.216,0,0
0,0,-0.26,0,-0.464,-0.388,0,0,-0.26,0,-0.26,0,-0.26,0,-0.26,-0.388,0,-0.464,0,0
-0.385,0,-0.138,-0.289,0,-0.289,-0.138,-0.138,-0.138,-0.342,-0.224,-0.138,-0.289,-0.138,-0.289,-0.289,-0.342,-0.138,0,-0.138
-0.5,0,-0.464,-0.411,0,-0.216,0,0,0,-0.411,0,0,-0.216,-0.332,0,0,-0.216,0,0,0
-0.285,0,-0.285,-0.285,0,-0.285,0,-0.415,0,-0.285,0,0,-0.285,-0.285,0,-0.488,0,-0.285,0,0
0,-0.431,-0.191,-0.191,0,-0.375,0,-0.299,-0.299,-0.191,-0.191,0,-0.191,0,-0.191,-0.431,-0.299,0,0,-0.191
-0.209,0,-0.323,0,-0.209,-0.401,-0.401,-0.209,-0.323,-0.209,-0.209,0,0,-0.209,-0.209,-0.323,-0.209,-0.209,0,0
-0.272,0,-0.272,0,0,-0.401,0,0,0,0,-0.272,-0.272,-0.272,0,-0.272,-0.401,-0.272,0,0,-0.476
-0.232,0,-0.352,-0.352,-0.176,-0.176,-0.107,-0.318,-0.232,-0.408,-0.107,0,-0.232,-0.107,-0.107,-0.352,-0.232,-0.176,0,-0.107
-0.388,0,-0.26,0,0,0,-0.26,-0.26,0,0,-0.26,0,-0.26,-0.388,-0.26,-0.26,-0.26,-0.464,0,0
-0.306,0,-0.383,-0.306,0,-0.306,0,-0.197,0,0,0,0,-0.197,-0.383,-0.506,-0.383,0,0,0,0
-0.365,0,-0.263,-0.434,-0.219,-0.166,-0.1,-0.166,-0.1,-0.391,0,-0.166,-0.302,0,-0.302,-0.263,-0.219,-0.166,0,0
-0.191,-0.431,-0.299,-0.191,0,-0.191,0,-0.191,-0.299,-0.191,-0.191,-0.299,0,0,-0.375,-0.299,-0.191,-0.191,0,-0.191
-0.518,0,0,0,0,-0.375,0,-0.299,-0.431,-0.299,-0.191,0,0,0,-0.191,-0.191,0,-0.299,0,-0.191
-0.381,0,-0.326,-0.381,0,-0.381,0,0,-0.16,-0.326,0,-0.16,-0.326,-0.255,0,-0.326,-0.255,0,0,-0.16
-0.186,-0.292,0,0,-0.292,-0.464,-0.292,-0.186,-0.186,0,0,-0.186,0,-0.186,-0.292,-0.186,-0.186,-0.292,-0.186,-0.292
-0.314,0,0,-0.314,-0.314,-0.314,0,-0.314,0,-0.447,0,0,-0.314,0,-0.314,-0.447,0,0,0,0
-0.189,-0.142,-0.189,-0.265,-0.189,-0.372,-0.142,-0.142,-0.265,-0.296,-0.085,-0.189,-0.265,-0.142,-0.265,-0.265,-0.23,-0.23,-0.085,-0.189
-0.272,-0.401,0,0,-0.401,-0.272,0,0,-0.272,0,0,-0.272,0,-0.272,0,-0.476,0,-0.272,-0.272,0
-0.314,-0.203,-0.166,-0.203,-0.124,-0.336,-0.073,-0.203,-0.203,-0.073,-0.073,-0.124,-0.435,-0.166,-0.375,-0.264,-0.235,-0.166,0,-0.124
-0.385,0,-0.198,-0.35,-0.162,-0.368,-0.121,-0.121,-0.368,-0.285,-0.162,-0.121,-0.259,-0.121,-0.162,-0.162,-0.162,-0.162,-0.072,-0.162
0,0,0,-0.314,0,0,0,0,-0.447,-0.314,0,-0.314,0,0,0,-0.531,0,0,-0.447,0
0,0,-0.447,-0.511,0,-0.314,-0.314,0,0,0,-0.511,0,0,0,0,-0.314,0,0,0,0
-0.232,0,-0.232,-0.232,0,0,0,-0.232,-0.232,-0.482,-0.232,-0.482,-0.232,0,0,-0.431,0,0,0,0
0,0,0,-0.299,-0.299,-0.299,0,0,0,0,0,-0.299,-0.299,-0.299,-0.299,-0.431,-0.299,-0.299,-0.299,0
-0.5,0,0,0,-0.299,-0.299,0,0,0,-0.299,0,0,-0.431,-0.299,-0.299,-0.299,0,-0.299,0,0
-0.459,0,-0.144,-0.352,-0.144,-0.352,-0.144,0,0,-0.396,-0.144,0,-0.232,0,-0.299,-0.431,-0.144,0,0,0
-0.184,0,-0.082,-0.342,0,-0.317,-0.184,-0.082,-0.184,-0.385,-0.082,-0.082,-0.289,-0.289,-0.317,-0.342,-0.258,-0.224,-0.082,-0.082
-0.326,-0.255,0,-0.16,-0.255,-0.326,-0.255,-0.16,-0.16,-0.381,-0.16,-0.255,-0.16,0,-0.255,-0.255,0,-0.255,0,-0.255
-0.17,-0.363,-0.208,-0.17,-0.17,-0.321,-0.208,-0.208,-0.27,-0.297,-0.075,-0.127,-0.297,-0.17,-0.17,-0.27,-0.208,-0.24,-0.075,-0.075
0,0,-0.447,-0.447,-0.447,-0.314,0,0,-0.314,0,-0.314,0,0,0,-0.447,0,0,0,0,0
-0.272,0,-0.272,0,-0.272,-0.272,-0.272,-0.272,0,-0.401,0,0,-0.272,0,-0.272,-0.476,0,0,0,-0.272
-0.232,0,-0.352,-0.482,0,-0.232,-0.232,-0.232,0,-0.352,-0.352,-0.232,-0.232,-0.232,0,0,-0.232,0,0,0
-0.295,-0.268,-0.319,-0.126,-0.239,-0.239,-0.169,-0.075,-0.126,-0.341,-0.206,-0.206,-0.126,0,-0.319,-0.412,-0.126,-0.169,0,-0.126
0,-0.314,0,-0.203,-0.314,-0.511,0,-0.203,0,-0.314,-0.203,0,0,0,-0.392,-0.392,0,-0.203,0,0
-0.375,0,-0.25,-0.25,0,-0.25,0,-0.25,0,-0.25,0,0,-0.453,0,-0.375,-0.453,-0.25,0,0,0
0,0,-0.415,0,-0.415,-0.285,0,0,-0.523,-0.285,0,0,0,-0.285,-0.285,0,0,0,0,-0.285
0,0,-0.5,0,-0.299,-0.299,0,0,0,0,-0.431,0,-0.5,0,-0.299,0,0,0,0,-0.299
-0.326,0,-0.504,-0.381,0,-0.16,0,-0.16,-0.16,-0.16,-0.255,-0.16,-0.255,-0.16,-0.16,-0.16,0,0,-0.16,-0.326
0,-0.228,-0.228,-0.228,-0.141,-0.187,-0.141,-0.263,-0.322,0,-0.141,-0.187,-0.263,-0.187,-0.228,-0.347,-0.347,-0.187,-0.084,-0.294
0,0,-0.26,-0.26,-0.388,-0.464,0,0,-0.26,-0.388,0,0,-0.388,0,0,-0.26,-0.388,0,0,0
-0.232,0,0,0,-0.352,-0.482,0,0,-0.232,-0.232,0,-0.352,-0.232,0,-0.431,-0.232,-0.352,0,0,0
-0.504,0,-0.16,0,-0.16,-0.459,-0.16,-0.16,-0.16,-0.381,-0.16,-0.16,-0.16,-0.255,-0.16,-0.16,0,0,0,-0.16
0,0,-0.447,0,-0.314,0,0,-0.314,-0.314,-0.447,-0.314,0,-0.314,0,-0.314,-0.314,0,0,0,0
0,-0.456,-0.209,-0.209,-0.209,-0.209,-0.209,-0.323,-0.209,-0.209,0,-0.401,-0.209,-0.323,0,0,0,-0.209,0,-0.209
-0.292,-0.292,-0.292,0,-0.292,-0.186,0,-0.186,0,-0.292,-0.292,0,-0.292,-0.292,-0.186,-0.292,-0.292,0,-0.186,-0.186
-0.285,0,0,-0.415,-0.285,-0.415,0,0,0,-0.415,-0.285,0,0,0,0,-0.523,0,0,0,0
-0.299,0,0,0,-0.299,0,0,-0.299,0,-0.431,0,-0.299,-0.431,-0.431,-0.299,-0.299,0,0,0,0
-0.321,-0.127,-0.127,-0.208,-0.075,-0.442,-0.17,-0.17,-0.075,-0.24,-0.075,-0.127,-0.27,-0.17,-0.208,-0.414,0,-0.343,-0.075,-0.127
-0.314,0,0,0,0,-0.447,0,0,0,-0.314,0,-0.314,0,0,-0.447,-0.447,0,-0.314,0,-0.314
-0.314,0,-0.314,0,-0.447,-0.511,0,-0.314,-0.314,-0.314,0,0,0,0,0,0,0,0,0,-0.314
-0.299,0,0,-0.431,0,0,-0.299,0,0,-0.5,0,0,-0.431,0,-0.299,0,0,-0.431,0,0
-0.314,0,-0.314,0,0,-0.314,0,-0.314,0,-0.314,0,-0.314,-0.314,0,-0.314,0,0,-0.314,0,-0.447
-0.304,-0.236,-0.195,-0.147,-0.195,-0.088,-0.147,-0.195,-0.332,-0.304,-0.147,-0.195,-0.147,-0.236,-0.272,-0.195,-0.195,-0.358,-0.088,-0.147
-0.299,0,-0.431,-0.299,-0.431,-0.299,0,0,0,-0.431,0,-0.299,0,0,-0.299,0,-0.299,0,0,0
-0.306,0,-0.306,-0.12,0,-0.257,-0.197,0,0,-0.413,-0.197,-0.257,-0.306,-0.257,-0.306,-0.257,-0.12,-0.197,0,-0.257
0,0,0,0,-0.314,-0.314,-0.314,-0.447,0,-0.314,0,0,-0.447,0,-0.314,-0.314,0,-0.314,0,0
-0.24,0,-0.491,-0.24,0,-0.24,0,-0.363,0,-0.363,0,0,0,0,-0.24,-0.24,0,-0.363,0,-0.363
-0.209,-0.431,-0.299,-0.242,-0.128,-0.345,-0.242,-0.209,-0.076,-0.172,-0.172,-0.209,-0.299,-0.128,0,-0.172,-0.272,-0.209,0,-0.076
-0.352,0,-0.232,0,-0.232,-0.232,-0.232,0,0,-0.352,0,-0.232,-0.232,0,-0.232,-0.53,0,0,0,0
-0.431,0,0,-0.232,-0.352,-0.352,0,0,0,-0.352,0,0,-0.352,-0.232,-0.232,-0.431,0,0,-0.232,0
-0.431,0,-0.299,0,-0.299,-0.299,0,-0.431,0,-0.299,-0.299,0,-0.299,0,0,-0.299,0,0,0,-0.299
0,0,-0.314,0,-0.447,-0.447,-0.314,0,0,-0.314,-0.314,0,0,0,-0.314,-0.447,0,0,0,0
0,0,-0.527,-0.442,-0.24,0,0,0,0,0,-0.363,-0.24,0,0,-0.24,0,0,0,0,-0.363
-0.24,0,0,-0.363,-0.24,-0.24,-0.15,0,0,-0.24,-0.15,-0.15,-0.469,-0.309,-0.24,-0.309,-0.15,-0.309,0,0
-0.289,0,-0.224,0,-0.224,-0.224,-0.138,-0.138,-0.342,-0.224,-0.138,-0.138,0,-0.224,-0.45,-0.289,-0.138,-0.224,0,-0.342
-0.375,0,0,0,0,-0.453,-0.25,0,0,-0.453,0,-0.25,-0.25,0,0,-0.25,-0.25,0,-0.25,-0.375
-0.381,0,-0.16,-0.425,-0.096,0,-0.355,-0.096,0,-0.355,0,-0.096,-0.326,-0.293,-0.404,-0.16,-0.096,-0.096,0,-0.096
-0.26,0,-0.388,0,-0.26,0,0,-0.26,0,-0.26,-0.26,0,-0.388,0,-0.464,-0.388,-0.26,0,0,0
0,0,0,-0.232,-0.232,-0.52,0,0,0,-0.232,-0.232,0,-0.232,0,-0.232,-0.352,-0.232,0,-0.232,0
-0.24,-0.24,-0.15,-0.309,-0.309,-0.309,-0.15,0,-0.309,0,0,-0.15,-0.309,-0.24,-0.363,-0.15,-0.24,-0.24,-0.15,0
0,0,0,0,0,-0.285,0,-0.285,-0.285,-0.415,-0.285,0,-0.285,-0.285,-0.285,-0.285,0,-0.415,0,-0.285
-0.397,-0.186,-0.292,-0.113,-0.113,-0.186,-0.186,-0.244,-0.244,-0.244,-0.113,0,-0.397,0,-0.367,-0.292,-0.186,-0.113,-0.113,0
-0.25,0,0,-0.25,-0.25,-0.375,0,-0.25,0,-0.25,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.453,0,-0.25,0
-0.431,0,0,-0.299,-0.299,0,0,0,0,-0.431,0,0,-0.299,0,-0.5,-0.431,0,0,0,0
-0.352,0,-0.232,-0.232,-0.232,0,0,0,0,-0.232,0,-0.431,-0.431,0,-0.352,-0.482,0,0,0,0
-0.25,0,-0.25,-0.375,-0.25,-0.375,0,0,-0.375,-0.25,0,0,-0.25,0,-0.25,-0.375,0,0,-0.25,-0.25
0,0,0,-0.299,-0.299,-0.431,0,0,0,-0.299,-0.299,0,-0.431,0,-0.299,-0.299,-0.299,0,-0.299,0
-0.272,-0.272,-0.172,-0.272,0,-0.272,-0.172,-0.345,-0.272,0,-0.172,0,-0.401,-0.272,-0.172,0,-0.172,-0.172,-0.172,-0.272
0,0,0,0,0,-0.401,0,0,0,-0.401,-0.401,-0.401,-0.272,0,-0.272,0,-0.272,-0.272,0,-0.401
-0.272,-0.304,-0.236,-0.236,-0.272,-0.332,-0.147,-0.088,-0.195,-0.236,-0.088,-0.147,-0.195,-0.195,-0.304,-0.272,-0.195,-0.195,0,-0.195
0,0,0,0,-0.314,-0.314,0,0,0,-0.314,-0.314,0,0,-0.314,-0.511,-0.314,-0.314,0,0,-0.314
-0.324,-0.409,-0.253,-0.253,-0.159,-0.409,-0.118,-0.118,-0.118,-0.253,0,-0.07,-0.324,-0.194,-0.194,-0.253,-0.118,-0.159,0,-0.07
-0.491,0,-0.363,0,-0.24,-0.363,-0.24,0,0,-0.363,0,0,-0.363,0,0,-0.363,-0.24,0,0,0
-0.272,0,-0.272,0,-0.401,0,0,-0.272,-0.401,-0.272,0,0,-0.272,0,-0.272,-0.401,-0.272,-0.272,0,0
-0.388,0,0,0,-0.26,-0.388,-0.26,-0.26,0,-0.388,-0.464,0,-0.26,-0.26,0,0,0,0,-0.26,0
-0.447,0,0,0,-0.447,-0.447,0,0,0,0,-0.447,-0.314,0,0,-0.314,-0.314,0,0,0,0
-0.401,0,-0.272,0,-0.172,0,-0.172,0,-0.345,-0.272,-0.172,-0.272,0,-0.172,-0.272,-0.345,-0.172,-0.272,0,-0.345
-0.272,0,-0.272,0,-0.272,-0.272,-0.272,-0.401,0,-0.272,0,-0.272,-0.476,0,-0.272,0,0,0,0,-0.272
0,0,0,-0.511,-0.447,-0.447,0,0,-0.314,0,-0.314,0,0,0,-0.314,-0.314,0,0,0,0
-0.491,0,-0.24,-0.24,-0.24,0,-0.24,0,0,0,0,0,-0.24,-0.24,0,-0.442,0,-0.363,-0.24,-0.24
0,0,0,0,-0.431,-0.431,-0.299,0,0,-0.299,0,-0.431,-0.299,0,-0.299,-0.431,0,0,0,0
-0.176,0,-0.176,-0.278,-0.278,-0.451,0,-0.278,0,-0.278,0,-0.352,-0.176,0,-0.352,-0.352,0,-0.176,0,-0.176
-0.24,0,-0.363,0,-0.24,-0.363,0,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,0,-0.24,0,-0.24,-0.24,-0.24,-0.24
0,0,0,-0.25,-0.25,-0.531,0,0,0,-0.25,-0.25,0,-0.25,0,-0.25,-0.453,0,0,-0.25,0
-0.447,0,0,0,0,-0.447,-0.447,-0.314,-0.314,-0.447,0,0,0,0,0,0,-0.314,0,0,0
-0.272,0,-0.401,0,0,0,0,-0.272,0,-0.272,-0.272,0,0,0,-0.272,-0.476,-0.401,-0.401,0,0
-0.168,0,-0.266,-0.339,-0.266,-0.168,-0.168,0,-0.168,-0.266,-0.168,-0.266,0,-0.168,-0.266,-0.394,-0.266,-0.168,-0.168,-0.266
-0.272,-0.272,-0.128,0,-0.272,-0.209,-0.209,-0.128,0,-0.366,-0.128,-0.323,-0.272,-0.272,-0.366,-0.128,-0.272,-0.128,0,-0.128
-0.153,0,-0.153,-0.153,0,-0.245,-0.153,0,-0.153,-0.475,0,-0.245,-0.153,0,-0.314,-0.522,-0.153,-0.245,0,0
-0.332,0,-0.216,-0.133,-0.216,-0.133,-0.133,-0.133,-0.332,-0.44,-0.133,0,-0.133,0,-0.44,-0.375,-0.133,0,0,-0.216
-0.245,-0.245,-0.153,-0.187,-0.153,-0.187,-0.067,-0.245,-0.293,-0.352,-0.153,-0.245,-0.218,-0.114,-0.218,-0.369,-0.27,-0.218,0,-0.114
0,0,-0.25,0,-0.25,-0.25,0,-0.25,0,-0.375,-0.25,0,-0.25,-0.25,-0.25,-0.5,0,-0.25,0,-0.25
-0.314,0,0,-0.314,0,0,0,-0.314,-0.314,-0.447,0,0,-0.314,-0.447,0,0,0,0,0,-0.447
0,0,-0.197,-0.439,0,-0.306,0,-0.197,-0.306,0,0,0,-0.197,-0.306,-0.383,-0.306,-0.197,-0.197,-0.197,-0.306
0,0,0,0,-0.447,-0.314,0,0,-0.314,-0.314,-0.314,0,-0.447,-0.447,-0.314,0,0,0,0,0
0,0,0,0,-0.299,-0.299,0,0,-0.299,-0.299,0,-0.5,0,-0.299,0,-0.431,0,0,-0.431,0
-0.232,0,-0.232,-0.431,-0.232,-0.232,0,0,0,-0.352,0,0,-0.431,0,-0.352,-0.482,0,0,0,0
-0.164,0,-0.431,-0.332,-0.164,0,0,0,-0.164,-0.26,-0.164,-0.164,-0.388,-0.332,-0.26,-0.332,-0.332,0,0,0
-0.396,-0.299,-0.299,0,-0.232,-0.232,-0.144,-0.144,0,-0.232,0,-0.299,-0.232,-0.232,-0.299,-0.396,0,-0.232,0,0
-0.186,0,-0.292,-0.186,-0.367,-0.423,0,-0.186,-0.186,-0.186,0,-0.186,-0.186,-0.292,-0.367,-0.186,0,-0.186,0,-0.292
-0.485,0,-0.16,0,0,-0.459,-0.16,0,-0.16,-0.459,-0.16,-0.16,-0.16,-0.16,-0.16,-0.255,0,0,0,-0.255
-0.363,0,-0.24,0,-0.24,-0.363,0,-0.24,0,-0.24,0,-0.24,-0.24,-0.24,-0.24,-0.24,0,-0.363,0,-0.363
-0.26,0,-0.26,-0.26,0,0,-0.509,0,0,-0.26,0,0,-0.509,0,0,-0.388,-0.26,0,0,0
-0.24,0,-0.363,-0.363,-0.24,-0.363,0,0,0,-0.24,0,-0.24,0,0,-0.24,-0.24,-0.363,0,-0.24,-0.363
-0.396,0,-0.232,-0.299,0,-0.144,0,-0.144,-0.144,-0.232,-0.144,-0.144,-0.396,-0.232,-0.396,0,-0.232,-0.144,0,-0.352
0,0,-0.25,-0.524,0,0,0,-0.25,-0.375,0,-0.25,-0.453,0,-0.25,0,-0.25,-0.25,0,0,0
0,0,0,-0.392,-0.314,0,0,-0.203,-0.203,-0.314,0,-0.203,-0.203,-0.314,-0.447,-0.203,-0.314,-0.203,0,-0.203
-0.314,0,-0.412,-0.245,-0.153,0,0,-0.153,-0.153,-0.245,-0.153,0,-0.412,-0.245,-0.314,-0.245,-0.314,0,0,-0.245
-0.299,0,-0.272,-0.272,-0.128,-0.242,-0.242,-0.172,-0.323,-0.299,-0.076,-0.209,-0.172,-0.242,-0.272,-0.299,0,-0.323,-0.076,0
0,0,-0.415,0,-0.285,-0.415,-0.285,-0.285,-0.285,0,0,0,-0.285,0,0,-0.285,0,0,0,-0.488
-0.16,-0.16,-0.255,-0.255,0,-0.326,-0.16,-0.326,-0.326,-0.293,0,-0.096,-0.16,-0.211,-0.293,-0.326,-0.096,-0.16,-0.16,-0.211
0,0,-0.488,-0.285,0,0,0,-0.285,0,-0.285,-0.285,0,0,-0.488,0,0,0,-0.285,0,-0.415
-0.232,0,0,0,-0.232,-0.232,0,0,-0.352,-0.352,-0.232,-0.232,-0.232,-0.352,-0.232,-0.352,-0.232,-0.232,0,-0.232
