,Eisenberg,y
Neg_446,0.1555166190136108,0
Neg_2228,0.0387948250149225,0
Neg_2386,0.0411844635672656,0
Neg_2835,0.3405472347906002,0
Neg_2149,0.0544420147596052,0
Neg_2248,0.0627050033305842,0
Neg_2739,0.1732720594352868,0
Neg_2580,0.1926949677889894,0
Neg_2765,0.0445662844578626,0
Neg_939,0.1316665082204825,0
Neg_1859,0.2043522762774037,0
Neg_1088,0.0549580340410376,0
Neg_448,0.2175971555178295,0
Neg_2831,0.0742604473067281,0
Neg_358,0.1354386624030432,0
Neg_2287,0.1414098649232562,0
Neg_2597,0.2444805040078116,0
Neg_2648,0.1008354801743323,0
Neg_152,0.0200354191718036,0
Neg_2086,0.1490377347925136,0
Neg_966,0.1746942146869948,0
Neg_2081,0.1038591433191755,0
Neg_2579,0.1968403444693036,0
Neg_542,0.1023646174906652,0
Neg_270,0.1043569347496024,0
Neg_447,0.5132520760920871,0
Neg_2242,0.0605170981222513,0
Neg_1615,0.106532413413271,0
Neg_103,0.0858482640719488,0
Neg_1048,0.0525819397846175,0
Neg_628,0.1254048053545954,0
Neg_2169,0.359033640376822,0
Neg_599,0.1407174354992897,0
Neg_2490,0.2275148186411995,0
Neg_62,0.1329339147687679,0
Neg_1129,0.1390427888641041,0
Neg_190,0.279222022395617,0
Neg_1522,0.1895456523184445,0
Neg_165,0.1863000010262786,0
Neg_1152,0.1147974163987503,0
Neg_217,0.1785048400783223,0
Neg_1140,0.1335798394722852,0
Neg_2378,0.1390557786962944,0
Neg_1569,0.089897877567683,0
Neg_662,0.0831106685530334,0
Neg_688,0.3251198132618915,0
Neg_541,0.2586473038638869,0
Neg_624,0.0363397130008136,0
Neg_2108,0.1026055418705876,0
Neg_2808,0.080766272198312,0
Neg_2794,0.0879385423230096,0
Neg_2286,0.1752680255316997,0
Neg_373,0.1166716888618183,0
Neg_2612,0.099544831925102,0
Neg_937,0.1609099794044331,0
Neg_1345,0.1497360225551279,0
Neg_2671,0.0924790161482301,0
Neg_2855,0.284167740321743,0
Neg_279,0.0842529341391544,0
Neg_706,0.1531126568928911,0
Neg_2921,0.0708070367360759,0
Neg_994,0.1527008272327809,0
Neg_2453,0.1129373069927548,0
Neg_2074,0.11232845022208,0
Neg_1803,0.0875477031135055,0
Neg_653,0.2150643381812578,0
Neg_1943,0.1356186671709463,0
Neg_1283,0.0555292714848387,0
Neg_1383,0.0264501879547424,0
Neg_325,0.0729054796277878,0
Neg_2702,0.0480328713816207,0
Neg_2180,0.0699375265570516,0
Neg_585,0.2137543981767248,0
Neg_2047,0.0982747504776001,0
Neg_2392,0.0832848643110975,0
Neg_919,0.3019537415898979,0
Neg_2566,0.116702593864198,0
Neg_404,0.1766124015958402,0
Neg_953,0.0956553643682311,0
Neg_1257,0.0838805540500468,0
Neg_1680,0.0863148998112897,0
Neg_1098,0.3510793079275571,0
Neg_1404,0.1781519543958945,0
Neg_79,0.1746243189769767,0
Neg_2483,0.0701206599165989,0
Neg_2866,0.2286463524785685,0
Neg_133,0.2189020169928546,0
Neg_1514,0.1831896381756147,0
Neg_1790,0.1159968198880333,0
Neg_2219,0.0793831237804732,0
Neg_2758,0.1842302720576963,0
Neg_621,0.1311637833350173,0
Neg_904,0.3905162954388452,0
Neg_736,0.0836184863730562,0
Neg_431,0.0331528430377727,0
Neg_2469,0.187249157197444,0
Neg_2895,0.2151313150800781,0
Neg_202,0.0901955485064727,0
Neg_478,0.2503654225696681,0
Neg_1929,0.0895328566148155,0
Neg_1179,0.0437097577520794,0
Neg_116,0.1418135617310326,0
Neg_2854,0.159732252898952,0
Neg_2229,0.1508036117903369,0
Neg_301,0.3162130925297352,0
Neg_2264,0.1330930557786504,0
Neg_58,0.1180529112618062,0
Neg_37,0.1348231606980078,0
Neg_1299,0.2332808339939423,0
Neg_2238,0.2430662715289628,0
Neg_1065,0.1218955727447386,0
Neg_2393,0.1973240682722887,0
Neg_1063,0.1394709515173649,0
Neg_2681,0.1386983477761969,0
Neg_1206,0.1950188116049115,0
Neg_926,0.1102221191067149,0
Neg_1834,0.211645963253885,0
Neg_219,0.1168948260452475,0
Neg_1051,0.0965709199816652,0
Neg_2732,0.2805847294467041,0
Neg_22,0.4995980774143481,0
Neg_2672,0.0890566821166664,0
Neg_1925,0.042589643294809,0
Neg_1046,0.2848450982555555,0
Neg_2602,0.0421201191834232,0
Neg_2626,0.0962775017641818,0
Neg_664,0.1072356864727889,0
Neg_1033,0.0983649774183553,0
Neg_1541,0.153364669827777,0
Neg_352,0.0100653010155942,0
Neg_2763,0.32039746808419,0
Neg_2198,0.1229473066239996,0
Neg_260,0.1854788252098503,0
Neg_743,0.0940425458056317,0
Neg_1798,0.2969006513649386,0
Neg_805,0.0835206619726043,0
Neg_2446,0.0966234401055534,0
Neg_1456,0.1883680016582044,0
Neg_853,0.3657977450308848,0
Neg_1866,0.1005043900540419,0
Neg_1972,0.17219936965156,0
Neg_1250,0.1498206804801324,0
Neg_2893,0.1516976056035302,0
Neg_415,0.1300105698835423,0
Neg_2440,0.1927866769125217,0
Neg_1947,0.1738419085351762,0
Neg_2296,0.0317007274921237,0
Neg_1491,0.0643852834927624,0
Neg_1592,0.0807966271059381,0
Neg_833,0.0352645152542372,0
Neg_2254,0.3863447633350569,0
Neg_2786,0.2233506020427388,0
Neg_1307,0.1812751047011609,0
Neg_1022,0.2706123348822799,0
Neg_2289,0.1414295650576721,0
Neg_2564,0.031030892110007,0
Neg_1131,0.0931354814599473,0
Neg_2814,0.0827563642335205,0
Neg_2346,0.0974783805028801,0
Neg_2538,0.2173618970463007,0
Neg_503,0.2474437821876377,0
Neg_614,0.1327753093147459,0
Neg_2227,0.1399295252435,0
Neg_1977,0.0440698891954666,0
Neg_1151,0.1337704710681978,0
Neg_2315,0.0604416723053315,0
Neg_1180,0.1488725761632822,0
Neg_308,0.120214246900617,0
Neg_1426,0.0432643279229693,0
Neg_12,0.0380279039716571,0
Neg_506,0.1853374546316932,0
Neg_136,0.072250888028694,0
Neg_378,0.109652629829024,0
Neg_2058,0.1072313335691676,0
Neg_2336,0.1314150945333505,0
Neg_2220,0.0481797597969889,0
Neg_262,0.0580386999889319,0
Neg_1888,0.2210518569169249,0
Neg_2552,0.0462314291568405,0
Neg_1340,0.1518536721478445,0
Neg_1753,0.2769792639746536,0
Neg_941,0.1039075188893755,0
Neg_689,0.0520026984009106,0
Neg_403,0.0806385127606579,0
Neg_2524,0.0465733935982856,0
Neg_1006,0.0645708805667655,0
Neg_89,0.2379087332147833,0
Neg_1956,0.2407770135169781,0
Neg_2723,0.0199714548009468,0
Neg_34,0.1189877403969277,0
Neg_757,0.2270235121228978,0
Neg_1170,0.1762924170232689,0
Neg_1405,0.0897560075166317,0
Neg_1634,0.1688142986581853,0
Neg_835,0.1345284721483847,0
Neg_1809,0.0304681797144924,0
Neg_296,0.0868640137560462,0
Neg_1989,0.0675491398193114,0
Neg_636,0.1434737498499498,0
Neg_1350,0.1851396571348834,0
Neg_160,0.1465868464533723,0
Neg_1524,0.1359167379087609,0
Neg_836,0.0746946478590696,0
Neg_1885,0.0751245571174588,0
Neg_1723,0.1640420485264509,0
Neg_1139,0.0905884343491697,0
Neg_531,0.045720774672755,0
Neg_131,0.0819801932494874,0
Neg_226,0.1253197516021137,0
Neg_2031,0.0195796953465387,0
Neg_1050,0.1228110516438029,0
Neg_2215,0.2329926394004706,0
Neg_1008,0.2743422688547047,0
Neg_755,0.2178880688117371,0
Neg_1309,0.3517601672643938,0
Neg_1348,0.0364328294168068,0
Neg_2829,0.09450535096703,0
Neg_1281,0.0982362911685677,0
Neg_2879,0.1143704818187179,0
Neg_2182,0.0531622402255983,0
Neg_513,0.2975414553655572,0
Neg_2222,0.029729425872887,0
Neg_2348,0.0191961633014663,0
Neg_549,0.3890849995443377,0
Neg_2669,0.2338867723907507,0
Neg_1248,0.1368422585373848,0
Neg_19,0.1220808440783622,0
Neg_1763,0.0518871176763244,0
Neg_2832,0.1049810392688834,0
Neg_1992,0.0739348765078601,0
Neg_2675,0.1665912985032486,0
Neg_203,0.1058758524455032,0
Neg_2314,0.0900015787121865,0
Neg_460,0.122124447278179,0
Neg_248,0.0688648875398434,0
Neg_418,0.0792812317842534,0
Neg_1007,0.0523374942417882,0
Neg_2178,0.0852684137883421,0
Neg_537,0.0184068638901591,0
Neg_97,0.0872411394648353,0
Neg_1719,0.1362076819537244,0
Neg_1777,0.1011513706572408,0
Neg_771,0.1100324114624946,0
Neg_2070,0.1338269983592809,0
Neg_1418,0.2035079520125673,0
Neg_1167,0.0095452430569698,0
Neg_2477,0.0599090003080723,0
Neg_715,0.1422915583545518,0
Neg_616,0.0776746463254641,0
Neg_558,0.1749190686234658,0
Neg_64,0.1325584822323715,0
Neg_1316,0.1977523328068041,0
Neg_1507,0.12861468250173,0
Neg_1101,0.0860273466139316,0
Neg_1796,0.0934202525516397,0
Neg_1223,0.0559005212149655,0
Neg_538,0.1374811850328825,0
Neg_302,0.0360518366360622,0
Neg_200,0.1359788274477855,0
Neg_1730,0.1150898454849771,0
Neg_876,0.0415323501667663,0
Neg_326,0.2801868260993624,0
Neg_1436,0.0045126040852922,0
Neg_727,0.1493904678696883,0
Neg_1831,0.1135144977993201,0
Neg_900,0.1370157936011079,0
Neg_1637,0.0758334703860328,0
Neg_2635,0.1045995122920967,0
Neg_2454,0.0860996032161831,0
Neg_1216,0.1543014083203015,0
Neg_2191,0.1725075298946982,0
Neg_1275,0.1757505227539944,0
Neg_2151,0.066566365299962,0
Neg_1402,0.3820696856470757,0
Neg_717,0.1150041125991987,0
Neg_1862,0.0072218005798817,0
Neg_158,0.1893939657063346,0
Neg_1740,0.1593898203091285,0
Neg_1424,0.0971331846844357,0
Neg_943,0.2537618630497229,0
Neg_1688,0.1625898503398454,0
Neg_148,0.1036970981416241,0
Neg_2796,0.039866655518855,0
Neg_1887,0.2278163396727101,0
Neg_2811,0.0595546960076423,0
Neg_859,0.0923776463285493,0
Neg_2155,0.101053979282468,0
Neg_2045,0.0243895973407738,0
Neg_1104,0.1325362326195392,0
Neg_2638,0.1092164943888115,0
Neg_962,0.1375138477241535,0
Neg_2828,0.0726057612603871,0
Neg_1944,0.0906745971188247,0
Neg_523,0.2158349616061384,0
Neg_1319,0.1791230507150006,0
Neg_562,0.0646520543076513,0
Neg_2456,0.0909958198517217,0
Neg_1500,0.2450960360479699,0
Neg_1913,0.1301729185667846,0
Neg_286,0.1804413575319801,0
Neg_2871,0.1162449604555381,0
Neg_456,0.0589107386125686,0
Neg_984,0.2098517905605988,0
Neg_1837,0.2052246374359267,0
Neg_2617,0.0480554315910532,0
Neg_139,0.2260159114420695,0
Neg_1815,0.1560606264522322,0
Neg_1157,0.1886469200490387,0
Neg_1317,0.1084126997857087,0
Neg_2405,0.0778392781745901,0
Neg_45,0.0680749995957011,0
Neg_1797,0.0778890977694033,0
Neg_2769,0.1149314066215009,0
Neg_1390,0.0870948621861702,0
Neg_1018,0.0820845438549458,0
Neg_602,0.0550162877124873,0
Neg_182,0.0498548471076951,0
Neg_1056,0.27843181938965,0
Neg_2567,0.0910762707351586,0
Neg_849,0.2182922576036723,0
Neg_2338,0.1663951269237704,0
Neg_422,0.1779095637103294,0
Neg_1421,0.1584611933071786,0
Neg_2439,0.1290282488077073,0
Neg_563,0.1467962787309003,0
Neg_1622,0.1936991497408746,0
Neg_1578,0.1270638340106176,0
Neg_1939,0.0691676924374719,0
Neg_163,0.1098619107128636,0
Neg_287,0.3254773356455381,0
Neg_787,0.009313002700911,0
Neg_1846,0.1064435883589976,0
Neg_1280,0.0367064527997774,0
Neg_1918,0.2190589568766653,0
Neg_999,0.2353036460803774,0
Neg_314,0.0752065187638952,0
