,PAAC_Xc1.A,PAAC_Xc1.R,PAAC_Xc1.N,PAAC_Xc1.D,PAAC_Xc1.C,PAAC_Xc1.Q,PAAC_Xc1.E,PAAC_Xc1.G,PAAC_Xc1.H,PAAC_Xc1.I,PAAC_Xc1.L,PAAC_Xc1.K,PAAC_Xc1.M,PAAC_Xc1.F,PAAC_Xc1.P,PAAC_Xc1.S,PAAC_Xc1.T,PAAC_Xc1.W,PAAC_Xc1.Y,PAAC_Xc1.V,PAAC_Xc2.lambda1,PAAC_Xc2.lambda2,PAAC_Xc2.lambda3,y
Neg_446,0.0,0.8162705180596752,1.6325410361193504,1.6325410361193504,1.6325410361193504,2.4488115541790254,1.6325410361193504,1.6325410361193504,0.8162705180596752,0.8162705180596752,1.6325410361193504,1.6325410361193504,0.0,0.8162705180596752,0.0,3.265082072238701,3.265082072238701,0.0,0.0,1.6325410361193504,0.0555833116612861,0.062378956872094,0.0657672134069446,0
Neg_2228,1.5722182656315726,3.930545664078932,0.7861091328157863,0.7861091328157863,0.7861091328157863,3.930545664078932,2.358327398447359,8.64720046097365,1.5722182656315726,2.358327398447359,4.716654796894718,1.5722182656315726,0.7861091328157863,1.5722182656315726,5.502763929710505,7.074982195342077,2.358327398447359,1.5722182656315726,0.7861091328157863,0.7861091328157863,0.0823750211371651,0.0665418220021244,0.064974024044924,0
Neg_2386,0.7654142178434229,4.592485307060538,1.5308284356868458,1.5308284356868458,0.7654142178434229,1.5308284356868458,1.5308284356868458,3.061656871373692,0.0,0.0,2.296242653530269,1.5308284356868458,0.0,0.0,1.5308284356868458,4.592485307060538,3.8270710892171143,0.0,0.0,0.7654142178434229,0.0690871350536884,0.0791040601765496,0.0863945869263389,0
Neg_2835,0.7293879273306786,5.10571549131475,0.0,0.7293879273306786,0.0,1.4587758546613572,7.293879273306786,0.7293879273306786,1.4587758546613572,1.4587758546613572,5.835103418645429,4.376327563984072,0.0,0.7293879273306786,0.0,2.188163781992036,3.646939636653393,0.0,1.4587758546613572,0.7293879273306786,0.1022217091064769,0.08613295111749,0.0822574124453545,0
Neg_2149,2.320873568778093,3.094498091704124,1.5472490458520618,3.094498091704124,3.094498091704124,1.5472490458520618,2.320873568778093,6.188996183408247,0.0,6.188996183408247,3.094498091704124,1.5472490458520618,3.094498091704124,1.5472490458520618,1.5472490458520618,2.320873568778093,4.641747137556186,0.0,0.7736245229260309,3.094498091704124,0.0770572287535314,0.0873693387809658,0.0619489095394718,0
Neg_2248,1.511323720737584,3.022647441475168,0.755661860368792,2.266985581106376,0.0,0.755661860368792,3.022647441475168,1.511323720737584,2.266985581106376,0.755661860368792,1.511323720737584,3.022647441475168,0.755661860368792,1.511323720737584,1.511323720737584,2.266985581106376,1.511323720737584,0.0,3.022647441475168,0.755661860368792,0.084203217024037,0.0942444336879433,0.0658904889192275,0
Neg_2739,6.7249158572389085,5.977702984212363,2.241638619079636,5.977702984212363,1.4944257460530908,1.4944257460530908,3.736064365132727,2.988851492106181,1.4944257460530908,3.736064365132727,4.483277238159272,2.241638619079636,0.7472128730265454,2.241638619079636,4.483277238159272,3.736064365132727,4.483277238159272,1.4944257460530908,2.241638619079636,3.736064365132727,0.0910528756148544,0.0872046626334607,0.0745295887251394,0
Neg_2580,1.636309749288536,0.8181548746442681,0.8181548746442681,0.8181548746442681,0.0,1.636309749288536,0.0,1.636309749288536,0.0,0.8181548746442681,0.8181548746442681,1.636309749288536,0.0,1.636309749288536,2.4544646239328043,7.363393871798412,0.8181548746442681,0.0,0.0,0.8181548746442681,0.072624419883545,0.0566767769437976,0.0525439285283891,0
Neg_2765,4.871268332012408,0.0,4.059390276677006,4.871268332012408,0.8118780553354012,3.247512221341605,4.059390276677006,4.871268332012408,2.435634166006204,7.306902498018611,4.059390276677006,2.435634166006204,0.8118780553354012,0.0,4.871268332012408,4.059390276677006,4.871268332012408,1.6237561106708025,1.6237561106708025,4.059390276677006,0.0620223531213281,0.0553732454182536,0.0707263461250168,0
Neg_939,0.0,1.5905187440395132,1.5905187440395132,2.385778116059269,0.7952593720197566,1.5905187440395132,2.385778116059269,1.5905187440395132,1.5905187440395132,0.7952593720197566,1.5905187440395132,5.566815604138296,2.385778116059269,5.566815604138296,3.1810374880790264,2.385778116059269,0.7952593720197566,0.7952593720197566,0.7952593720197566,2.385778116059269,0.0628776102464118,0.0647460004246138,0.0771170173092177,0
Neg_1859,0.0,0.0,0.7942096719806865,3.176838687922746,0.0,0.7942096719806865,0.0,0.7942096719806865,0.7942096719806865,1.588419343961373,2.38262901594206,2.38262901594206,0.0,1.588419343961373,0.7942096719806865,1.588419343961373,0.7942096719806865,0.0,0.0,4.765258031884119,0.0617860591132467,0.0705736708106001,0.0734305980954667,0
Neg_1088,5.872166497829389,3.670104061143368,2.936083248914694,1.468041624457347,0.0,2.936083248914694,1.468041624457347,3.670104061143368,1.468041624457347,0.7340208122286737,4.404124873372043,1.468041624457347,0.0,0.7340208122286737,0.0,2.936083248914694,2.2020624366860213,2.2020624366860213,1.468041624457347,1.468041624457347,0.0967424473647105,0.0799727828212396,0.0892639575853761,0
Neg_448,4.842410325408141,1.614136775136047,4.035341937840117,2.4212051627040707,0.8070683875680235,0.8070683875680235,4.035341937840117,4.842410325408141,1.614136775136047,2.4212051627040707,4.035341937840117,2.4212051627040707,4.842410325408141,1.614136775136047,1.614136775136047,2.4212051627040707,4.035341937840117,0.0,0.8070683875680235,4.842410325408141,0.0660885964961502,0.0706762776924205,0.0561667382434057,0
Neg_2831,7.264701200099003,2.421567066699668,3.22875608893289,2.421567066699668,0.8071890222332225,5.650323155632558,4.035945111166113,4.035945111166113,1.614378044466445,0.0,8.071890222332225,6.45751217786578,0.8071890222332225,2.421567066699668,6.45751217786578,6.45751217786578,4.843134133399335,0.0,2.421567066699668,2.421567066699668,0.069298895723002,0.0665779725682618,0.0569341094755136,0
Neg_358,4.871087127002091,0.0,3.247391418001394,2.4355435635010454,0.0,0.8118478545003485,2.4355435635010454,3.247391418001394,0.8118478545003485,4.059239272501742,5.682934981502439,3.247391418001394,0.0,0.8118478545003485,1.623695709000697,2.4355435635010454,4.871087127002091,0.8118478545003485,0.0,3.247391418001394,0.0672520523630844,0.0643842629680833,0.0565158301684837,0
Neg_2287,1.5640777873459184,3.128155574691837,0.7820388936729592,0.7820388936729592,0.0,2.3461166810188776,1.5640777873459184,6.256311149383674,0.0,1.5640777873459184,6.256311149383674,2.3461166810188776,2.3461166810188776,3.128155574691837,0.7820388936729592,3.910194468364796,1.5640777873459184,0.0,1.5640777873459184,2.3461166810188776,0.0771563524474944,0.0781995454189891,0.0626052084605571,0
Neg_2597,2.3422343484893102,0.7807447828297701,1.5614895656595402,3.1229791313190804,0.0,3.1229791313190804,3.1229791313190804,0.7807447828297701,0.7807447828297701,0.7807447828297701,4.6844686969786205,0.7807447828297701,0.7807447828297701,1.5614895656595402,0.0,1.5614895656595402,0.7807447828297701,0.0,0.7807447828297701,0.7807447828297701,0.0749708987974845,0.0723697697592975,0.0719145486134478,0
Neg_2648,5.406291458947262,4.633964107669081,0.0,6.1786188102254425,1.5446547025563606,6.950946161503623,5.406291458947262,6.950946161503623,1.5446547025563606,2.3169820538345407,11.584910269172704,2.3169820538345407,0.0,3.089309405112721,4.633964107669081,5.406291458947262,3.089309405112721,0.0,2.3169820538345407,3.089309405112721,0.0719770090552993,0.0709114177967581,0.0847842218697622,0
Neg_152,2.390672019438385,0.7968906731461285,3.984453365730642,2.390672019438385,0.0,2.390672019438385,1.593781346292257,3.187562692584514,2.390672019438385,3.187562692584514,11.953360097191927,2.390672019438385,0.0,5.5782347120228994,0.7968906731461285,5.5782347120228994,3.187562692584514,0.7968906731461285,0.7968906731461285,0.0,0.071251622239247,0.0714001051232255,0.0604575994913989,0
Neg_2086,0.7603861026698284,2.281158308009485,0.0,0.7603861026698284,0.0,0.7603861026698284,2.281158308009485,0.0,0.7603861026698284,2.281158308009485,3.8019305133491423,5.322702718688799,1.5207722053396568,0.7603861026698284,3.8019305133491423,0.7603861026698284,0.7603861026698284,0.0,0.7603861026698284,0.7603861026698284,0.0776222400974055,0.0870952914240473,0.0748963658087186,0
