,Hopp_woods,y
Neg_446,0.1649237708718924,0
Neg_2228,0.1699082962153566,0
Neg_2386,0.1714297638278802,0
Neg_2835,0.6203003991688152,0
Neg_2149,0.1213149551441072,0
Neg_2248,0.2042348225116401,0
Neg_2739,0.3115714906513325,0
Neg_2580,0.2067371026140582,0
Neg_2765,0.0492780523094113,0
Neg_939,0.219822805022578,0
Neg_1859,0.4107572327352891,0
Neg_1088,0.1415676273752014,0
Neg_448,0.466864947474463,0
Neg_2831,0.1107861503911773,0
Neg_358,0.3504214979527867,0
Neg_2287,0.1977698398537167,0
Neg_2597,0.504323067360646,0
Neg_2648,0.077243382561568,0
Neg_152,0.0447989241146104,0
Neg_2086,0.3321460902556932,0
Neg_966,0.3023562914238649,0
Neg_2081,0.1485980553466397,0
Neg_2579,0.2911601328593948,0
Neg_542,0.1267760178035353,0
Neg_270,0.2881908419837296,0
Neg_447,0.8330974572296208,0
Neg_2242,0.2792110564065821,0
Neg_1615,0.1106580020931624,0
Neg_103,0.1451229415021951,0
Neg_1048,0.0041833505285598,0
Neg_628,0.2325541272048394,0
Neg_2169,0.4586371574006435,0
Neg_599,0.1916272183147375,0
Neg_2490,0.3385728066377883,0
Neg_62,0.1987105889064815,0
Neg_1129,0.1320391228348681,0
Neg_190,0.545395201569369,0
Neg_1522,0.2678622401702787,0
Neg_165,0.3951685196569309,0
Neg_1152,0.1420774342213979,0
Neg_217,0.4054399594707978,0
Neg_1140,0.4045371647760017,0
Neg_2378,0.0870291957586475,0
Neg_1569,0.2914730391840367,0
Neg_662,0.0722745749840635,0
Neg_688,0.7485082912826493,0
Neg_541,0.4954478218021247,0
Neg_624,0.1683472819795023,0
Neg_2108,0.1509361420398899,0
Neg_2808,0.0874816378770897,0
Neg_2794,0.2196980610722982,0
Neg_2286,0.3226315068354549,0
Neg_373,0.1285020399656887,0
Neg_2612,0.1060976089879985,0
Neg_937,0.3035097721670244,0
Neg_1345,0.3277712490219286,0
Neg_2671,0.1291155576364441,0
Neg_2855,0.3488156183911245,0
Neg_279,0.1858881123450969,0
Neg_706,0.4081873398778073,0
Neg_2921,0.1931087230626434,0
Neg_994,0.1805241096065395,0
Neg_2453,0.2815830801324223,0
Neg_2074,0.4482380604377247,0
Neg_1803,0.1028556859850166,0
Neg_653,0.3146409077799583,0
Neg_1943,0.3461541278168054,0
Neg_1283,0.0962673073652503,0
Neg_1383,0.1378758335577279,0
Neg_325,0.0932233879676479,0
Neg_2702,0.1113867886521888,0
Neg_2180,0.2074464147205698,0
Neg_585,0.4175289858863827,0
Neg_2047,0.1693441280331536,0
Neg_2392,0.111480580632113,0
Neg_919,0.6169410068489404,0
Neg_2566,0.300159166825914,0
Neg_404,0.4298838906498999,0
Neg_953,0.2419988783965499,0
Neg_1257,0.1870654172566506,0
Neg_1680,0.1728364661414627,0
Neg_1098,1.005030355623688,0
Neg_1404,0.2630096039968006,0
Neg_79,0.3430823686493174,0
Neg_2483,0.1849900565523107,0
Neg_2866,0.5581667770139002,0
Neg_133,0.3338178810943062,0
Neg_1514,0.4469414993577622,0
Neg_1790,0.2960800024396915,0
Neg_2219,0.0660565682732291,0
Neg_2758,0.2869825234274591,0
Neg_621,0.398922260147613,0
Neg_904,0.7381896325288478,0
Neg_736,0.2291293498472085,0
Neg_431,0.1666287738941696,0
Neg_2469,0.229781710008619,0
Neg_2895,0.3308054638388626,0
Neg_202,0.2289506408284111,0
Neg_478,0.5709036537604554,0
Neg_1929,0.1276770569342524,0
Neg_1179,0.3436912277368481,0
Neg_116,0.2569571216303026,0
Neg_2854,0.3446890033630748,0
Neg_2229,0.3323632805161228,0
Neg_301,0.4739250516552792,0
Neg_2264,0.3391076424695059,0
Neg_58,0.2116543216493806,0
Neg_37,0.2765509077069395,0
Neg_1299,0.3062107366397363,0
Neg_2238,0.4802412195870909,0
Neg_1065,0.0933354369349102,0
Neg_2393,0.1941998138712165,0
Neg_1063,0.2024030653055002,0
Neg_2681,0.293081424950744,0
Neg_1206,0.3396402025849859,0
Neg_926,0.3259581074246311,0
Neg_1834,0.5742310051539926,0
Neg_219,0.3716911595625272,0
Neg_1051,0.1597825716722335,0
Neg_2732,0.3006484981470377,0
Neg_22,0.912069980594976,0
Neg_2672,0.2217884714976517,0
Neg_1925,0.0884645282969066,0
Neg_1046,0.4803322882749511,0
Neg_2602,0.0434627709152928,0
Neg_2626,0.1564508021743361,0
Neg_664,0.1852453082988474,0
Neg_1033,0.1814617161619549,0
Neg_1541,0.2062934640120226,0
Neg_352,0.0404775565210046,0
Neg_2763,0.5192262822662519,0
Neg_2198,0.2140432061432548,0
Neg_260,0.3604607111446696,0
Neg_743,0.2285675528208116,0
Neg_1798,0.5330010697631631,0
Neg_805,0.1645911938797234,0
Neg_2446,0.2326054838265147,0
Neg_1456,0.3526085413098812,0
Neg_853,0.4645599430374607,0
Neg_1866,0.2289347465053242,0
Neg_1972,0.2262895879327175,0
Neg_1250,0.2798593815292558,0
Neg_2893,0.293080870860512,0
Neg_415,0.1370323906451348,0
Neg_2440,0.253657278321446,0
Neg_1947,0.1839850705979071,0
Neg_2296,0.0198008957000146,0
Neg_1491,0.1711697969140913,0
Neg_1592,0.1653956062152244,0
Neg_833,0.1320186460299815,0
Neg_2254,0.5966155835217489,0
Neg_2786,0.4615331948382942,0
Neg_1307,0.3045298962415094,0
Neg_1022,0.3272470408291092,0
Neg_2289,0.3111030296514503,0
Neg_2564,0.0656390574689082,0
Neg_1131,0.051090202940513,0
Neg_2814,0.1538336714257221,0
Neg_2346,0.1139043612926556,0
Neg_2538,0.3869995507365791,0
Neg_503,0.420056898379203,0
Neg_614,0.1152051529411859,0
Neg_2227,0.2623828508069365,0
Neg_1977,0.1091616590214954,0
Neg_1151,0.2454738098401498,0
Neg_2315,0.3417334132478323,0
Neg_1180,0.1944666849954171,0
Neg_308,0.3364758486719798,0
Neg_1426,0.1909287575269958,0
Neg_12,0.0071329284743667,0
Neg_506,0.2445544687108533,0
Neg_136,0.0723882170073108,0
Neg_378,0.3753149180412187,0
Neg_2058,0.2505727087975792,0
Neg_2336,0.1572136765260142,0
