,Aliphatic_Index,y
Neg_446,56.451612903225794,0
Neg_2228,58.8235294117647,0
Neg_2386,40.0,0
Neg_2835,82.5,0
Neg_2149,93.03030303030305,0
Neg_2248,39.52380952380952,0
Neg_2739,75.45454545454545,0
Neg_2580,43.79310344827586,0
Neg_2765,93.875,0
Neg_939,40.8,0
Neg_1859,131.78571428571428,0
Neg_1088,73.39285714285714,0
Neg_448,81.49253731343282,0
Neg_2831,63.70786516853932,0
Neg_358,117.0909090909091,0
Neg_2287,92.03703703703702,0
Neg_2597,92.2222222222222,0
Neg_2648,89.69696969696972,0
Neg_152,115.07462686567165,0
Neg_2086,94.86486486486488,0
Neg_966,90.88888888888889,0
Neg_2081,72.8048780487805,0
Neg_2579,111.91489361702128,0
Neg_542,76.04651162790697,0
Neg_270,85.67567567567568,0
Neg_447,111.42857142857142,0
Neg_2242,124.46153846153844,0
Neg_1615,110.66666666666666,0
Neg_103,50.0,0
Neg_1048,69.55555555555556,0
Neg_628,93.6,0
Neg_2169,140.46511627906978,0
Neg_599,98.69565217391305,0
Neg_2490,74.13793103448276,0
Neg_62,95.06172839506172,0
Neg_1129,46.05263157894736,0
Neg_190,74.61538461538461,0
Neg_1522,120.41095890410958,0
Neg_165,75.07692307692308,0
Neg_1152,151.875,0
Neg_217,67.08333333333333,0
Neg_1140,80.43478260869566,0
Neg_2378,119.11111111111111,0
Neg_1569,79.39024390243901,0
Neg_662,52.91666666666666,0
Neg_688,37.27272727272727,0
Neg_541,97.33333333333331,0
Neg_624,72.22222222222221,0
Neg_2108,108.98305084745762,0
Neg_2808,104.05405405405406,0
Neg_2794,37.44680851063829,0
Neg_2286,83.37349397590361,0
Neg_373,114.3010752688172,0
Neg_2612,88.46153846153845,0
Neg_937,90.24691358024693,0
Neg_1345,90.98360655737706,0
Neg_2671,119.8901098901099,0
Neg_2855,128.63636363636363,0
Neg_279,78.57142857142857,0
Neg_706,100.80459770114942,0
Neg_2921,113.46938775510202,0
Neg_994,65.12820512820511,0
Neg_2453,143.91304347826085,0
Neg_2074,62.5,0
Neg_1803,113.75,0
Neg_653,86.28571428571428,0
Neg_1943,124.48275862068964,0
Neg_1283,93.46938775510203,0
Neg_1383,153.46153846153845,0
Neg_325,29.710144927536238,0
Neg_2702,85.17647058823529,0
Neg_2180,93.88888888888889,0
Neg_585,64.25531914893617,0
Neg_2047,101.91489361702128,0
Neg_2392,23.33333333333333,0
Neg_919,89.16666666666666,0
Neg_2566,87.64044943820225,0
Neg_404,94.33333333333331,0
Neg_953,92.74193548387096,0
Neg_1257,73.87096774193547,0
Neg_1680,102.1951219512195,0
Neg_1098,23.07692307692308,0
Neg_1404,74.28571428571428,0
Neg_79,109.79166666666669,0
Neg_2483,74.41176470588235,0
Neg_2866,52.30769230769231,0
Neg_133,101.8181818181818,0
Neg_1514,21.25,0
Neg_1790,109.11764705882352,0
Neg_2219,80.29411764705883,0
Neg_2758,74.8780487804878,0
Neg_621,125.42857142857144,0
Neg_904,105.83333333333331,0
Neg_736,59.67741935483871,0
Neg_431,76.86567164179104,0
Neg_2469,72.25806451612902,0
Neg_2895,85.78313253012047,0
Neg_202,65.23809523809523,0
Neg_478,43.23529411764706,0
Neg_1929,101.11111111111111,0
Neg_1179,43.33333333333333,0
Neg_116,107.41573033707866,0
Neg_2854,78.0,0
Neg_2229,113.24324324324324,0
Neg_301,107.85714285714285,0
Neg_2264,40.51724137931035,0
Neg_58,94.41176470588236,0
Neg_37,50.285714285714285,0
Neg_1299,194.54545454545456,0
Neg_2238,74.13043478260869,0
Neg_1065,91.48148148148148,0
Neg_2393,95.05882352941175,0
Neg_1063,76.42857142857143,0
Neg_2681,52.70270270270271,0
Neg_1206,93.08823529411764,0
Neg_926,20.52631578947368,0
Neg_1834,146.66666666666663,0
Neg_219,43.87755102040816,0
Neg_1051,61.99999999999999,0
Neg_2732,59.44444444444444,0
Neg_22,112.0,0
Neg_2672,76.54545454545455,0
Neg_1925,90.3658536585366,0
Neg_1046,74.41176470588235,0
Neg_2602,59.01960784313725,0
