,Gravy,y
Neg_446,0.4249423816101402,0
Neg_2228,0.0776694635428113,0
Neg_2386,0.2002949028201077,0
Neg_2835,1.1350076861900882,0
Neg_2149,0.3125427326944566,0
Neg_2248,0.2314070771804616,0
Neg_2739,0.5328933631625863,0
Neg_2580,0.6782775293623684,0
Neg_2765,0.1433283768726233,0
Neg_939,0.4160301647786384,0
Neg_1859,0.6146570477771596,0
Neg_1088,0.1982413871297234,0
Neg_448,0.6323654224112151,0
Neg_2831,0.1286697639454966,0
Neg_358,0.4111586050799941,0
Neg_2287,0.3974330653988582,0
Neg_2597,0.6720577539135301,0
Neg_2648,0.38509770847754,0
Neg_152,0.0542018327638353,0
Neg_2086,0.6638760196917449,0
Neg_966,0.6566184302931595,0
Neg_2081,0.2943578803412537,0
Neg_2579,0.6233989901144522,0
Neg_542,0.2162730079844639,0
Neg_270,0.4201632250687164,0
Neg_447,1.429840791439564,0
Neg_2242,0.4244471374869422,0
Neg_1615,0.3792403960988776,0
Neg_103,0.3122017671190415,0
Neg_1048,0.3592054009976332,0
Neg_628,0.1212839961555377,0
Neg_2169,1.131728552440928,0
Neg_599,0.3808272651150297,0
Neg_2490,0.3945667493910769,0
Neg_62,0.4427533093161948,0
Neg_1129,0.4936733312141507,0
Neg_190,0.9467092698513724,0
Neg_1522,0.5761785779190326,0
Neg_165,0.4850284182118135,0
Neg_1152,0.379266378944726,0
Neg_217,0.5544891312926942,0
Neg_1140,0.3434455385820945,0
Neg_2378,0.6453885310471408,0
Neg_1569,0.3877311601451967,0
Neg_662,0.1311220428114252,0
Neg_688,0.7802812785803642,0
Neg_541,1.1306511755198312,0
Neg_624,0.2704501146862706,0
Neg_2108,0.3846457138340843,0
Neg_2808,0.4652683875434155,0
Neg_2794,0.2105901859260066,0
Neg_2286,0.4834014689724035,0
Neg_373,0.3297354654202437,0
Neg_2612,0.3850482250647706,0
Neg_937,0.5493843523824945,0
Neg_1345,0.2868080358145645,0
Neg_2671,0.4505695398781201,0
Neg_2855,0.7167125725717739,0
Neg_279,0.2606192156924184,0
Neg_706,0.5289366067868516,0
Neg_2921,0.2198829771402445,0
Neg_994,0.4853395310677789,0
Neg_2453,0.2977861467482195,0
Neg_2074,0.2335437137318631,0
Neg_1803,0.4025760457238056,0
Neg_653,0.8632672071992368,0
Neg_1943,0.5973814010961057,0
Neg_1283,0.094553092174825,0
Neg_1383,0.2912062116739859,0
Neg_325,0.3211550191088431,0
Neg_2702,0.1685890072195254,0
Neg_2180,0.1893867070134628,0
Neg_585,0.6052052009676123,0
Neg_2047,0.4995246355117498,0
Neg_2392,0.4799609235635624,0
Neg_919,0.9305421514544326,0
Neg_2566,0.4123630135937852,0
Neg_404,0.4950354466142585,0
Neg_953,0.2369108579723848,0
Neg_1257,0.3174471505667212,0
Neg_1680,0.0909426444104935,0
Neg_1098,1.1719104417259536,0
Neg_1404,0.6559320426736511,0
Neg_79,0.4864154113684163,0
Neg_2483,0.4775111465174694,0
Neg_2866,0.9904889998372992,0
Neg_133,0.4780329297661693,0
Neg_1514,0.6738133204539988,0
Neg_1790,0.2394861212822003,0
Neg_2219,0.0490515189287043,0
Neg_2758,0.5491505983140047,0
Neg_621,0.3560601919856154,0
Neg_904,0.938143490943926,0
Neg_736,0.2701897828678407,0
Neg_431,0.0409672782688918,0
Neg_2469,0.353799577010778,0
Neg_2895,0.5368250262821618,0
Neg_202,0.3548664464794258,0
Neg_478,0.5838190204835003,0
Neg_1929,0.3724572279695433,0
Neg_1179,0.2914862736040277,0
Neg_116,0.3974698926474497,0
Neg_2854,0.5839469240442436,0
Neg_2229,0.5258796307065511,0
Neg_301,1.187872711057458,0
Neg_2264,0.3684799637130575,0
Neg_58,0.3230703771630997,0
Neg_37,0.5209233947964446,0
Neg_1299,0.946101188720984,0
Neg_2238,0.9252768854576784,0
Neg_1065,0.2607955674530439,0
Neg_2393,0.5656239044711494,0
Neg_1063,0.3554876453322639,0
Neg_2681,0.5826508900654135,0
Neg_1206,0.5514367088071475,0
Neg_926,0.2834242176596754,0
Neg_1834,0.7946583303978073,0
Neg_219,0.3398062416517243,0
Neg_1051,0.2769246945552741,0
Neg_2732,0.8268404903995628,0
Neg_22,1.4126181384075134,0
Neg_2672,0.279411801239712,0
Neg_1925,0.173139316258139,0
Neg_1046,1.063093973808838,0
Neg_2602,0.0849751193415573,0
Neg_2626,0.2509952308318701,0
Neg_664,0.3760424194969953,0
Neg_1033,0.403550879767143,0
Neg_1541,0.3696971950914623,0
Neg_352,0.0668960983213001,0
Neg_2763,1.0454963485502713,0
Neg_2198,0.398492784192907,0
Neg_260,0.5579540011188414,0
Neg_743,0.1530207444015878,0
Neg_1798,0.758825943371824,0
Neg_805,0.496473280579118,0
Neg_2446,0.4052107414730427,0
Neg_1456,0.7937288165626492,0
Neg_853,1.1403899537806987,0
Neg_1866,0.5836168338720295,0
Neg_1972,0.3055734739162176,0
Neg_1250,0.474049916687066,0
Neg_2893,0.5496434094004637,0
Neg_415,0.5371746262296941,0
Neg_2440,0.6961634506502893,0
Neg_1947,0.4003261064948823,0
Neg_2296,0.1271235683746795,0
Neg_1491,0.1522355760469197,0
Neg_1592,0.4951117575984977,0
Neg_833,0.0747078270529094,0
Neg_2254,0.9908701691583915,0
Neg_2786,0.7103349070158581,0
Neg_1307,0.4586606939616446,0
Neg_1022,0.4805354215451466,0
Neg_2289,0.5408970758224079,0
Neg_2564,0.1027543547571256,0
Neg_1131,0.3913491625060961,0
Neg_2814,0.106640356975233,0
Neg_2346,0.1536315130328459,0
Neg_2538,0.6176109840046158,0
Neg_503,0.8055814243177095,0
Neg_614,0.4630542822367297,0
Neg_2227,0.4107257781480037,0
Neg_1977,0.1685160096548467,0
Neg_1151,0.3450574544168478,0
Neg_2315,0.2304232533413333,0
Neg_1180,0.2535458997637998,0
Neg_308,0.4090672241972783,0
Neg_1426,0.1289133666428567,0
Neg_12,0.1327190045498664,0
Neg_506,0.5605900977629457,0
Neg_136,0.2914012459582056,0
Neg_378,0.3690582797395035,0
Neg_2058,0.4173039467860515,0
Neg_2336,0.2937292403587102,0
Neg_2220,0.1326654247084503,0
Neg_262,0.1035872059206242,0
Neg_1888,0.7408862583828826,0
Neg_2552,0.1674894967405779,0
Neg_1340,0.4654454575098194,0
Neg_1753,0.8847808045350835,0
Neg_941,0.3813336861134617,0
Neg_689,0.1520574367477593,0
Neg_403,0.1876044598093762,0
Neg_2524,0.1488275101476353,0
Neg_1006,0.201736361296607,0
Neg_89,0.7375978063568137,0
Neg_1956,0.8483836874977919,0
Neg_2723,0.2061486815780892,0
Neg_34,0.3458899320888579,0
Neg_757,0.6774911860101249,0
Neg_1170,0.4190990651464522,0
Neg_1405,0.3144398231195202,0
Neg_1634,0.487045979939909,0
Neg_835,0.304275085660406,0
Neg_1809,0.1069407728205866,0
Neg_296,0.3091449636537389,0
Neg_1989,0.2144892523391405,0
Neg_636,0.4431402930952511,0
Neg_1350,0.5518984186569713,0
Neg_160,0.364574922801836,0
Neg_1524,0.3774684014165378,0
Neg_836,0.1414801817810787,0
Neg_1885,0.2231908131834599,0
Neg_1723,0.4417002819208405,0
Neg_1139,0.1647114999241644,0
Neg_531,0.3952154145406129,0
Neg_131,0.1747889343366219,0
Neg_226,0.3831454685321298,0
Neg_2031,0.0795649370441026,0
Neg_1050,0.5173202374956575,0
Neg_2215,0.7775120993564352,0
Neg_1008,0.7635428714712349,0
Neg_755,0.8737495833418955,0
Neg_1309,1.2383303596192967,0
Neg_1348,0.1766882356154788,0
Neg_2829,0.4412235094668629,0
Neg_1281,0.3216956406123102,0
Neg_2879,0.2719182724285609,0
Neg_2182,0.0986312802029161,0
Neg_513,0.8919495035878349,0
Neg_2222,0.1639035024612575,0
Neg_2348,0.2364675754767077,0
Neg_549,0.8815294450132446,0
Neg_2669,0.8046374004959694,0
Neg_1248,0.3808060800357706,0
Neg_19,0.3316587122734361,0
Neg_1763,0.0841067573553499,0
Neg_2832,0.2167825912089542,0
Neg_1992,0.2194337143154774,0
Neg_2675,0.385080213250636,0
Neg_203,0.3873272246640908,0
Neg_2314,0.2698117816176524,0
Neg_460,0.2429112647750571,0
Neg_248,0.210122377640985,0
Neg_418,0.3711510090758705,0
Neg_1007,0.0331617749553816,0
Neg_2178,0.4286195117045442,0
Neg_537,0.0772440201703197,0
Neg_97,0.2267124154107586,0
Neg_1719,0.2624303542317,0
Neg_1777,0.2973276459120934,0
Neg_771,0.1916212427303947,0
Neg_2070,0.3763017182348055,0
Neg_1418,0.5532984594745577,0
Neg_1167,0.1361264684283668,0
Neg_2477,0.2718571026153586,0
Neg_715,0.4174557908870945,0
Neg_616,0.2757597868631001,0
Neg_558,0.5719939446366984,0
