,Kytedoolittle,y
Neg_446,0.1469165851371983,0
Neg_2228,0.0254572672792458,0
Neg_2386,0.0668224566226886,0
Neg_2835,0.3711646004130748,0
Neg_2149,0.1011259773592631,0
Neg_2248,0.0734676966169013,0
Neg_2739,0.1744561047459673,0
Neg_2580,0.2256311590170149,0
Neg_2765,0.0499106384863118,0
Neg_939,0.1356603503228055,0
Neg_1859,0.2071652662693349,0
Neg_1088,0.0659295063376769,0
Neg_448,0.205156049516346,0
Neg_2831,0.0430355026639063,0
Neg_358,0.1339441812706147,0
Neg_2287,0.1290861711556544,0
Neg_2597,0.2205440729745894,0
Neg_2648,0.128166313812342,0
Neg_152,0.0192712419271952,0
Neg_2086,0.2234193683166571,0
Neg_966,0.2134127179681587,0
Neg_2081,0.0961301794094926,0
Neg_2579,0.2076026556720526,0
Neg_542,0.070233059183212,0
Neg_270,0.1382071671670877,0
Neg_447,0.4707676441445123,0
Neg_2242,0.1416012805250461,0
Neg_1615,0.1337252243386767,0
Neg_103,0.1014742011350503,0
Neg_1048,0.1238593597279893,0
Neg_628,0.0341882747274399,0
Neg_2169,0.3797141818793669,0
Neg_599,0.1268586397332275,0
Neg_2490,0.1303422175122213,0
Neg_62,0.1454175933712057,0
Neg_1129,0.1635360502337634,0
Neg_190,0.3306488945946537,0
Neg_1522,0.1896696478807068,0
Neg_165,0.1595905171416627,0
Neg_1152,0.1295515875768542,0
Neg_217,0.1807214761481003,0
Neg_1140,0.1126262612773425,0
Neg_2378,0.2181880559686431,0
Neg_1569,0.1330194258740336,0
Neg_662,0.0514700417083497,0
Neg_688,0.260848946241115,0
Neg_541,0.3883598314491776,0
Neg_624,0.0899001850316915,0
Neg_2108,0.1308484357083206,0
Neg_2808,0.1578150827440032,0
Neg_2794,0.0685342018759774,0
Neg_2286,0.1619495467176736,0
Neg_373,0.1091086929200054,0
Neg_2612,0.1297484629152628,0
Neg_937,0.1838432062747208,0
Neg_1345,0.0921402076991582,0
Neg_2671,0.1532435118613947,0
Neg_2855,0.229075710066969,0
Neg_279,0.0851614079654245,0
Neg_706,0.1759472768750147,0
Neg_2921,0.0665274649738696,0
Neg_994,0.1585795852831696,0
Neg_2453,0.094653152446218,0
Neg_2074,0.0813325984052137,0
Neg_1803,0.1313954577874472,0
Neg_653,0.2841483500816872,0
Neg_1943,0.199631996492189,0
Neg_1283,0.0271242308771509,0
Neg_1383,0.0953083784875216,0
Neg_325,0.1090091549247122,0
Neg_2702,0.0571049655387199,0
Neg_2180,0.0605740170507196,0
Neg_585,0.1996956169433966,0
Neg_2047,0.1641621287891457,0
Neg_2392,0.1584855201142152,0
Neg_919,0.316738794369207,0
Neg_2566,0.1354476464492549,0
Neg_404,0.1590285061556788,0
Neg_953,0.0776551914878833,0
Neg_1257,0.1080136344231765,0
Neg_1680,0.0313461587269053,0
Neg_1098,0.372322240981641,0
Neg_1404,0.2210276256422173,0
Neg_79,0.1645168999134234,0
Neg_2483,0.1575091685283463,0
Neg_2866,0.3327794688369416,0
Neg_133,0.1576225650855724,0
Neg_1514,0.2253415206996437,0
Neg_1790,0.07815408542512,0
Neg_2219,0.0164268480401767,0
Neg_2758,0.1837826303815929,0
Neg_621,0.1102917282845179,0
Neg_904,0.2952144834587242,0
Neg_736,0.0817623196349056,0
Neg_431,0.0113590200782876,0
Neg_2469,0.1105529646133454,0
Neg_2895,0.1762935766418903,0
Neg_202,0.1138968478427306,0
Neg_478,0.1879290197839516,0
Neg_1929,0.1214510771659279,0
Neg_1179,0.0942072569927732,0
Neg_116,0.1308165669290206,0
Neg_2854,0.1955943584177659,0
Neg_2229,0.1795329469613313,0
Neg_301,0.3893958574368246,0
Neg_2264,0.124224345957057,0
Neg_58,0.1078110124002708,0
Neg_37,0.1696198420784719,0
Neg_1299,0.3071636174604557,0
Neg_2238,0.3044927244631533,0
Neg_1065,0.083591365853221,0
Neg_2393,0.1869009668054677,0
Neg_1063,0.1157165115023247,0
Neg_2681,0.1959426800904289,0
Neg_1206,0.1799798849484937,0
Neg_926,0.0887076893111252,0
Neg_1834,0.2555431436435226,0
Neg_219,0.1112226881595422,0
Neg_1051,0.0922501263317024,0
Neg_2732,0.2755077065309403,0
Neg_22,0.4798910727005533,0
Neg_2672,0.0915143590033086,0
Neg_1925,0.055725975438269,0
Neg_1046,0.3542621329410536,0
Neg_2602,0.0265560725786763,0
Neg_2626,0.0826621556121812,0
Neg_664,0.1274457895614181,0
Neg_1033,0.1316020232861669,0
Neg_1541,0.1209489570042508,0
Neg_352,0.0219583710732898,0
Neg_2763,0.3438987806471695,0
Neg_2198,0.1349274878014109,0
Neg_260,0.1734992710173621,0
Neg_743,0.0484636806298262,0
Neg_1798,0.2544267810330133,0
Neg_805,0.1664467588507924,0
Neg_2446,0.1357718718525272,0
Neg_1456,0.2549467591132557,0
Neg_853,0.3711935046975045,0
Neg_1866,0.1968222805622589,0
Neg_1972,0.099582304394736,0
Neg_1250,0.1571017231209953,0
