,Boman_Index,y
Neg_446,2.750322580645162,0
Neg_2228,1.7710294117647063,0
Neg_2386,4.195897435897436,0
Neg_2835,3.833076923076924,0
Neg_2149,1.023939393939394,0
Neg_2248,3.445952380952381,0
Neg_2739,2.2738636363636364,0
Neg_2580,2.0789655172413792,0
Neg_2765,1.1398749999999995,0
Neg_939,2.0318,0
Neg_1859,0.7857142857142857,0
Neg_1088,2.227142857142857,0
Neg_448,1.1419402985074625,0
Neg_2831,1.9347191011235951,0
Neg_358,0.6552727272727272,0
Neg_2287,0.98,0
Neg_2597,2.1955555555555555,0
Neg_2648,1.7873737373737375,0
Neg_152,0.6494029850746266,0
Neg_2086,2.0589189189189185,0
Neg_966,0.2157777777777778,0
Neg_2081,2.106829268292684,0
Neg_2579,0.6529787234042553,0
Neg_542,3.730348837209304,0
Neg_270,2.5805405405405404,0
Neg_447,4.065714285714286,0
Neg_2242,0.5244615384615383,0
Neg_1615,0.9886666666666664,0
Neg_103,2.65780487804878,0
Neg_1048,2.049777777777777,0
Neg_628,2.2312000000000003,0
Neg_2169,-0.1151162790697672,0
Neg_599,0.9411956521739128,0
Neg_2490,2.1679310344827583,0
Neg_62,1.9844444444444451,0
Neg_1129,3.204078947368421,0
Neg_190,2.6699999999999995,0
Neg_1522,1.123835616438356,0
Neg_165,3.7826153846153856,0
Neg_1152,-1.1183333333333334,0
Neg_217,2.3679166666666664,0
Neg_1140,1.6391304347826086,0
Neg_2378,1.0304444444444445,0
Neg_1569,2.02280487804878,0
Neg_662,2.4683333333333333,0
Neg_688,2.836363636363637,0
Neg_541,0.0513333333333334,0
Neg_624,0.5262962962962963,0
Neg_2108,0.1367796610169493,0
Neg_2808,1.418378378378378,0
Neg_2794,2.251914893617021,0
Neg_2286,1.820120481927711,0
Neg_373,0.271075268817204,0
Neg_2612,1.6848717948717944,0
Neg_937,1.665432098765432,0
Neg_1345,2.0544262295081954,0
Neg_2671,-0.036923076923077,0
Neg_2855,1.7040909090909089,0
Neg_279,1.547142857142857,0
Neg_706,1.8097701149425305,0
