,NMBroto_CIDH920105.lag1,NMBroto_CIDH920105.lag2,NMBroto_CIDH920105.lag3,NMBroto_BHAR880101.lag1,NMBroto_BHAR880101.lag2,NMBroto_BHAR880101.lag3,NMBroto_CHAM820101.lag1,NMBroto_CHAM820101.lag2,NMBroto_CHAM820101.lag3,NMBroto_CHAM820102.lag1,NMBroto_CHAM820102.lag2,NMBroto_CHAM820102.lag3,NMBroto_CHOC760101.lag1,NMBroto_CHOC760101.lag2,NMBroto_CHOC760101.lag3,NMBroto_BIGC670101.lag1,NMBroto_BIGC670101.lag2,NMBroto_BIGC670101.lag3,NMBroto_CHAM810101.lag1,NMBroto_CHAM810101.lag2,NMBroto_CHAM810101.lag3,NMBroto_DAYM780201.lag1,NMBroto_DAYM780201.lag2,NMBroto_DAYM780201.lag3,y
peptide_nm_1,-0.0198859607865944,0.6192440219826606,0.3754596872668672,0.4897458796250123,0.5746647990017381,0.5497874687764838,0.02726266865206,0.1472439171648484,0.3698634816873445,0.0886645365304188,0.4618008907835961,0.2444978062289212,-0.0177257870837939,0.1282263344705192,0.3518415834140014,-0.1349836712237426,0.2326863364549056,0.3080847323644175,-0.4398139319385865,0.4086305314927944,-0.4721975131802284,0.3525422523631544,0.2606961054300585,0.8151443372426672,0
peptide_nm_2,-0.1914593227158224,0.0145959059262845,-0.0187712970377008,-0.0706965207604414,-0.0890156612490297,-0.5162523549705172,0.0372617259764104,-0.0476758427031915,0.2088549445357065,0.2129422541692442,0.175386255734101,0.3788531463813508,0.0257647288558071,-0.033799172329101,0.22540404562528,-0.0047905538971531,-0.0694367856974619,0.3142592689301003,0.0776427209591262,-0.1737354189904588,0.4630107810075635,0.2577271939453464,0.1714609845639946,0.0740462572457489,0
peptide_nm_3,-0.1218448296515542,-0.0351953554887717,-0.0819703944205704,0.1263464032236511,0.087650167600499,-0.2106554260151863,0.4098837681987149,0.2523598402318877,0.2035268078568775,-0.0357950593807247,-0.019222170008475,-0.2202484189385606,0.6041744533422401,0.29178813880561,0.2378097108790791,0.3494270202255984,0.1364053904215419,0.0082907244849358,0.2031620295723489,-0.1164177053572966,-0.6475894934319641,-0.1051639061344993,0.2908775781385407,-0.0001508527997636,0
peptide_nm_4,0.3946302759810925,0.3756287639491991,0.3734126544511588,0.1803109571685254,0.3063469096781231,0.2546677059412258,0.4453227075953165,0.387589397307565,0.2714766444959496,-0.1541852099039376,0.1724024130545645,-0.1228904469063269,0.4413944686914271,0.2963606915845104,0.2344293311935201,0.4963225153618642,0.3607640437921919,0.2749958702157669,0.3680271893779602,0.2111183922542051,-0.1829903111886869,0.2503548041104526,-0.164141268248958,0.041484978454185,0
peptide_nm_5,-0.5527054574764229,0.1485637392475131,0.3256674302035053,-0.1605725664563224,0.0794051784301596,0.1544784199065353,-0.0857728080962708,0.0136702645479253,0.1328338392288467,-0.0702657468701977,-0.0109434882756802,-0.0322320856452758,-0.0581405912740555,-0.0124696627332831,0.1275371308453083,-0.2338177529763053,0.0407787232846457,0.1825572658878297,0.0535021748872744,0.164680347201718,0.3093170120062528,-0.3807740586872831,0.2043418095183071,0.0811909026132838,0
peptide_nm_6,0.0999785004371272,-0.1241328972229049,-0.0300806596716026,0.3160773689938622,-0.1476512403942613,-0.326227643072105,-0.0405128331873188,-0.1615742874642099,-0.1652035993418062,-0.1831399744734357,0.0515364295600108,-0.1124728472092099,0.0686485099800513,-0.0338690566127762,-0.0435507770770874,-0.0044740047878677,-0.0912542901509704,-0.1329008884689988,0.0328315937531612,-0.1013081754469255,0.0515530261824473,-0.2558534809194388,-0.1286510204414184,0.10446203323897,0
peptide_nm_7,-0.1222618725267803,-0.196316161571408,0.3967244197801704,-0.1440242877998251,-0.1129581925011445,0.1093040391626187,-0.100418762667536,0.022884214303379,0.0079670439742781,-0.0147728618697843,-0.0673212782996109,0.0944787437925361,-0.1821450314161985,-0.1211176913647708,0.1481602239381625,-0.1345409225173939,-0.0155192640273609,0.133179024575123,0.1827771066287266,0.0450731343442289,0.6830950154741091,-0.2432003902914989,-0.2203753070931995,-0.1296139106526766,0
peptide_nm_8,-0.4382663600406355,0.3606959729791669,-0.3461123340430349,-0.0790658413055707,0.1532976577873941,0.0587109912426154,0.2706234741965655,-0.0444233432604511,-0.1030221203570433,-0.267849205079733,0.0685277148032283,-0.2959985153754169,0.2804024949171232,-0.1278128122953926,-0.2610676824467788,0.1936605934368276,-0.017757247460481,-0.1422211125776975,-0.2968164633180459,0.2526285913858273,0.0364723877339893,0.3629325784274075,0.1356052040089244,0.2597937044756617,0
peptide_nm_9,0.0535650912000466,-0.0282820586964302,0.1909765385817945,0.2626821788880464,-0.0436285595444899,-0.008733858688594,-0.4187170747679947,0.1681317208625203,-0.0703186084279453,0.4798051951667649,0.381683804371009,-0.0475268947999446,-0.4516236488737263,0.1711538745550944,-0.1496817734799746,-0.4201260292339573,0.1961213243988823,-0.1393281107813693,0.0429999790067124,0.5494436915033627,-0.5345303617994974,-0.1784171368780529,-0.1224493726082492,0.5855172424009445,0
peptide_nm_10,0.0349810020438549,0.2986492287201223,0.27829205969635,-0.0494538247835201,0.0519745051503515,-0.0389103656762873,-0.1007694376226246,-0.3565782765657315,0.0245778792792535,-0.2235281782826459,0.0916094870601129,-0.0634468026536876,-0.0353028893295615,-0.4329232571763327,-0.156721075463968,-0.078258671160203,-0.4165368575989689,-0.233880822137185,-0.0309741215219892,0.029010815360216,-0.0591826231558511,-0.5250412729758733,-0.0122864790956535,0.0162878228624372,0
