,Ez__1,Ez__2,Ez__3,Ez__4,Ez__5,Ez__6,Ez__7,Ez__8,Ez__9,Ez__10,Ez__11,Ez__12,Ez__13,Ez__14,Ez__15,Ez__16,Ez__17,Ez__18,Ez__19,Ez__20,Ez__21,Ez__22,Ez__23,Ez__24,Ez__25,Ez__26,Ez__27,Ez__28,Ez__29,Ez__30,y
peptide_nm_1,0.671542857142857,0.1595538461538461,0.0730833333333333,0.3701818181818181,0.2879300000000001,5.69955,5.430846153846152,7.175708333333332,7.065145454545455,8.786199999999997,1.633271428571429,2.839176923076924,3.011416666666667,3.3745636363636367,4.8949,199.6731142857143,191.3615307692308,192.86250000000004,193.03192727272727,192.90432,86.31565,85.29603076923078,89.466225,92.17417272727272,88.52363,43.98737857142857,37.93426923076923,42.25505833333333,38.35158181818181,38.05878,0
peptide_nm_2,1.170953846153846,0.1964833333333333,0.5245181818181819,0.2426199999999999,0.4770666666666667,7.978976923076923,10.289058333333331,10.832581818181817,12.76583,10.5722,1.7624923076923076,3.501824999999999,3.751590909090909,3.9216,3.1382666666666665,203.4779230769231,195.50073333333333,202.8716090909091,202.89296,204.19567777777775,70.57275384615386,66.87679999999999,68.67402727272726,70.60164999999999,77.75594444444444,31.15616923076923,22.063141666666667,17.710427272727273,22.607309999999995,24.656477777777773,0
peptide_nm_3,0.5659370370370369,-0.0419846153846153,0.114684,-0.0057958333333333,-0.1711608695652173,1.1934000000000002,1.996480769230769,0.8333799999999999,0.7500124999999999,-0.1654826086956523,-0.3970518518518517,1.2536076923076924,-0.025892,0.4293624999999999,-0.030291304347826,178.84340370370376,174.19858461538462,176.97372000000004,173.5331125,176.92069565217392,77.37233703703703,74.71357692307693,75.580964,75.93550833333333,77.44868260869563,36.92238888888889,30.815615384615384,33.241192,32.38909999999999,34.15087826086956,0
peptide_nm_4,1.0201375,0.4119130434782608,0.4541045454545455,0.5134380952380952,0.3168149999999999,8.882479166666664,10.235591304347825,9.50875,9.682142857142855,9.625805,2.3584166666666664,4.027321739130436,3.378513636363636,3.593871428571428,3.80385,195.9543958333333,193.11074782608696,192.9507772727273,189.99648095238095,184.18556,70.05470416666667,66.88164782608696,68.75475909090908,67.1362238095238,65.647235,28.239325000000008,23.326873913043475,25.60080909090909,23.37834761904761,22.894325,0
peptide_nm_5,0.8071913043478259,-0.0256045454545454,0.0472238095238095,0.169895,0.0027052631578946,3.5315826086956514,5.831518181818183,6.148219047619048,5.475339999999999,6.15097894736842,0.6765913043478258,3.0120318181818178,2.492752380952381,2.4855,2.791526315789474,187.99471739130436,184.28658181818176,185.61867142857145,185.25328,181.6462526315789,86.93128260869562,82.01108636363637,84.97729047619048,81.18473499999999,78.42335789473684,44.29675217391305,35.47623636363637,38.103433333333335,38.216135,33.28090526315789,0
peptide_nm_6,0.9190035714285716,0.3736592592592593,0.0378846153846153,0.0769159999999999,0.0974333333333333,4.326889285714286,5.192166666666666,4.6589807692307685,4.876107999999999,6.905704166666667,0.8933785714285714,1.5849185185185186,2.076492307692308,2.537288,2.2597791666666667,215.17425714285716,206.54340370370372,207.09352307692308,208.690796,201.30092916666663,82.65117857142856,81.18468518518519,78.69068846153846,78.052008,75.41489166666665,36.00480000000001,32.842262962962955,30.21947692307692,29.607603999999988,28.41019583333333,0
peptide_nm_7,1.0872812500000002,0.0590533333333333,-0.1403357142857143,0.5610538461538461,0.3110916666666667,5.04668125,9.17822,7.716699999999999,5.462946153846155,8.405,1.2779874999999998,3.796853333333334,3.742171428571429,1.8008153846153845,3.8752166666666663,181.33046249999995,166.8627466666667,166.65444285714284,176.26016923076924,175.57796666666664,76.98747499999998,70.12342666666669,68.81082142857143,79.55018461538462,78.488025,34.63220625,27.68656,28.503521428571425,33.36817692307692,29.63978333333333,0
peptide_nm_8,0.6839062499999999,-0.1988533333333334,0.1363857142857143,-0.3061307692307692,0.0220749999999999,2.0747000000000004,3.1343333333333323,1.7286999999999997,3.5829999999999997,3.749566666666666,0.3732437499999999,1.9747666666666663,0.228342857142857,2.582838461538461,1.5635666666666663,176.80178124999998,174.81058666666664,175.54595714285713,177.00963846153843,179.53535,85.92145,83.24715999999998,87.56144285714285,85.1893076923077,87.36608333333332,45.18011875000001,38.727,43.82628571428571,40.17899230769231,43.89737499999999,0
peptide_nm_9,0.7971374999999998,0.18302,-0.1097214285714285,0.2527846153846153,-0.1437083333333333,0.16225625,2.157566666666667,3.6556,3.767307692307692,6.036191666666667,-0.169825,1.2485666666666668,1.7775142857142856,1.6305538461538458,3.294916666666666,210.4749,196.29756666666668,200.1440714285714,192.8630230769231,187.25440833333332,100.00753124999996,90.98016666666666,94.0953214285714,90.58890769230769,85.26504999999999,48.62748125000001,42.48425999999999,44.62819285714286,42.31584615384615,40.40314166666666,0
peptide_nm_10,1.3739749999999995,0.8598818181818182,0.6346499999999999,0.4693555555555554,0.98595,8.535099999999998,10.676590909090908,13.55144,12.4068,11.084687499999998,2.62575,3.4122,5.0632,5.579233333333334,4.418900000000001,169.92489166666667,154.8170909090909,149.52322999999998,147.8290222222222,156.899175,65.06707499999999,57.52113636363635,52.83662,51.50597777777778,57.50852499999999,27.817616666666662,22.66188181818181,17.70805,19.156766666666663,22.1868,0
