,CTDT_hydrophobicity_PRAM900101.Tr1221,CTDT_hydrophobicity_PRAM900101.Tr1331,CTDT_hydrophobicity_PRAM900101.Tr2332,CTDT_hydrophobicity_ARGP820101.Tr1221,CTDT_hydrophobicity_ARGP820101.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr2332,CTDT_hydrophobicity_ZIMJ680101.Tr1221,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CTDT_hydrophobicity_ZIMJ680101.Tr2332,CTDT_hydrophobicity_PONP930101.Tr1221,CTDT_hydrophobicity_PONP930101.Tr1331,CTDT_hydrophobicity_PONP930101.Tr2332,CTDT_hydrophobicity_CASG920101.Tr1221,CTDT_hydrophobicity_CASG920101.Tr1331,CTDT_hydrophobicity_CASG920101.Tr2332,CTDT_hydrophobicity_ENGD860101.Tr1221,CTDT_hydrophobicity_ENGD860101.Tr1331,CTDT_hydrophobicity_ENGD860101.Tr2332,CTDT_hydrophobicity_FASG890101.Tr1221,CTDT_hydrophobicity_FASG890101.Tr1331,CTDT_hydrophobicity_FASG890101.Tr2332,CTDT_normwaalsvolume.Tr1221,CTDT_normwaalsvolume.Tr1331,CTDT_normwaalsvolume.Tr2332,CTDT_polarity.Tr1221,CTDT_polarity.Tr1331,CTDT_polarity.Tr2332,CTDT_polarizability.Tr1221,CTDT_polarizability.Tr1331,CTDT_polarizability.Tr2332,CTDT_charge.Tr1221,CTDT_charge.Tr1331,CTDT_charge.Tr2332,CTDT_secondarystruct.Tr1221,CTDT_secondarystruct.Tr1331,CTDT_secondarystruct.Tr2332,CTDT_solventaccess.Tr1221,CTDT_solventaccess.Tr1331,CTDT_solventaccess.Tr2332,y
peptide_nm_1,0.4615384615384615,0.0,0.3076923076923077,0.3076923076923077,0.3846153846153846,0.0,0.1538461538461538,0.3846153846153846,0.0,0.1538461538461538,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.4615384615384615,0.0769230769230769,0.2307692307692307,0.5384615384615384,0.2307692307692307,0.0769230769230769,0.3846153846153846,0.2307692307692307,0.0769230769230769,0.3076923076923077,0.0,0.4615384615384615,0.4615384615384615,0.2307692307692307,0.0769230769230769,0.3076923076923077,0.0,0.1538461538461538,0.2307692307692307,0.0769230769230769,0.3076923076923077,0.0,0.3076923076923077,0.4615384615384615,0
peptide_nm_2,0.25,0.25,0.25,0.0833333333333333,0.0833333333333333,0.5833333333333334,0.0833333333333333,0.0833333333333333,0.5833333333333334,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.25,0.25,0.0833333333333333,0.0,0.5,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.0833333333333333,0.3333333333333333,0.3333333333333333,0.0833333333333333,0.4166666666666667,0.25,0.0833333333333333,0.0,0.6666666666666666,0.5,0.0,0.0833333333333333,0.1666666666666666,0.25,0.1666666666666666,0.25,0.25,0.25,0
peptide_nm_3,0.0384615384615384,0.1538461538461538,0.5,0.1538461538461538,0.1538461538461538,0.3076923076923077,0.2307692307692307,0.3076923076923077,0.1538461538461538,0.0769230769230769,0.1923076923076923,0.4615384615384615,0.3461538461538461,0.0769230769230769,0.2307692307692307,0.0384615384615384,0.3076923076923077,0.3461538461538461,0.0,0.1923076923076923,0.2307692307692307,0.3846153846153846,0.0769230769230769,0.1923076923076923,0.4230769230769231,0.2307692307692307,0.0384615384615384,0.3461538461538461,0.0384615384615384,0.2307692307692307,0.1153846153846153,0.0,0.0769230769230769,0.3461538461538461,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.1923076923076923,0.0384615384615384,0
peptide_nm_4,0.2608695652173913,0.217391304347826,0.0869565217391304,0.217391304347826,0.1739130434782608,0.0434782608695652,0.1739130434782608,0.1739130434782608,0.0,0.0869565217391304,0.3043478260869565,0.0,0.3478260869565217,0.0434782608695652,0.0,0.1739130434782608,0.217391304347826,0.0434782608695652,0.2608695652173913,0.2608695652173913,0.1304347826086956,0.4347826086956521,0.0,0.1304347826086956,0.0869565217391304,0.217391304347826,0.2608695652173913,0.2608695652173913,0.0,0.1304347826086956,0.1304347826086956,0.0434782608695652,0.5652173913043478,0.1739130434782608,0.3478260869565217,0.0434782608695652,0.1739130434782608,0.1304347826086956,0.3043478260869565,0
peptide_nm_5,0.2272727272727272,0.3181818181818182,0.2272727272727272,0.3181818181818182,0.5,0.0909090909090909,0.2727272727272727,0.5,0.0909090909090909,0.0909090909090909,0.6363636363636364,0.0454545454545454,0.5909090909090909,0.1363636363636363,0.0454545454545454,0.1363636363636363,0.3636363636363636,0.1818181818181818,0.0909090909090909,0.4545454545454545,0.2727272727272727,0.2727272727272727,0.2272727272727272,0.1818181818181818,0.2272727272727272,0.4545454545454545,0.0909090909090909,0.2727272727272727,0.2272727272727272,0.1818181818181818,0.2727272727272727,0.0,0.1818181818181818,0.3181818181818182,0.4545454545454545,0.0909090909090909,0.2727272727272727,0.2272727272727272,0.2727272727272727,0
peptide_nm_6,0.1851851851851851,0.2592592592592592,0.1481481481481481,0.1851851851851851,0.3333333333333333,0.2222222222222222,0.1481481481481481,0.3703703703703703,0.1111111111111111,0.074074074074074,0.2592592592592592,0.1481481481481481,0.2222222222222222,0.1111111111111111,0.1851851851851851,0.074074074074074,0.2592592592592592,0.074074074074074,0.1851851851851851,0.1851851851851851,0.1481481481481481,0.1851851851851851,0.074074074074074,0.3703703703703703,0.1111111111111111,0.2962962962962963,0.1481481481481481,0.1851851851851851,0.037037037037037,0.4074074074074074,0.037037037037037,0.1111111111111111,0.2592592592592592,0.2962962962962963,0.2962962962962963,0.037037037037037,0.2592592592592592,0.074074074074074,0.1851851851851851,0
peptide_nm_7,0.2,0.4666666666666667,0.0,0.4,0.3333333333333333,0.1333333333333333,0.2,0.4,0.0666666666666666,0.3333333333333333,0.3333333333333333,0.1333333333333333,0.6,0.0,0.0,0.2,0.4666666666666667,0.0,0.2,0.4666666666666667,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.3333333333333333,0.0,0.4666666666666667,0.2,0.1333333333333333,0.0666666666666666,0.3333333333333333,0.3333333333333333,0.0666666666666666,0.2,0.1333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0
peptide_nm_8,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.2,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.2,0.0,0.5333333333333333,0.2,0.5333333333333333,0.2,0.0666666666666666,0.1333333333333333,0.2666666666666666,0.3333333333333333,0.2,0.4666666666666667,0.2666666666666666,0.4666666666666667,0.0,0.1333333333333333,0.3333333333333333,0.4,0.1333333333333333,0.4666666666666667,0.0,0.1333333333333333,0.2666666666666666,0.0,0.2666666666666666,0.5333333333333333,0.0,0.2,0.2666666666666666,0.2666666666666666,0.2666666666666666,0
peptide_nm_9,0.2666666666666666,0.1333333333333333,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.1333333333333333,0.2666666666666666,0.2666666666666666,0.1333333333333333,0.4,0.0,0.3333333333333333,0.0666666666666666,0.0666666666666666,0.2,0.2,0.2,0.1333333333333333,0.4,0.0,0.2666666666666666,0.2666666666666666,0.1333333333333333,0.2,0.2,0.2,0.2666666666666666,0.2666666666666666,0.1333333333333333,0.2666666666666666,0.0,0.1333333333333333,0.2666666666666666,0.4,0.1333333333333333,0.2666666666666666,0.2666666666666666,0.1333333333333333,0
peptide_nm_10,0.3636363636363636,0.0,0.2727272727272727,0.5454545454545454,0.0909090909090909,0.0,0.5454545454545454,0.0909090909090909,0.0,0.3636363636363636,0.2727272727272727,0.0,0.1818181818181818,0.2727272727272727,0.0,0.3636363636363636,0.0,0.2727272727272727,0.0,0.3636363636363636,0.0909090909090909,0.0,0.4545454545454545,0.0,0.2727272727272727,0.0,0.3636363636363636,0.1818181818181818,0.4545454545454545,0.0,0.2727272727272727,0.0909090909090909,0.0909090909090909,0.0,0.3636363636363636,0.1818181818181818,0.1818181818181818,0.2727272727272727,0.1818181818181818,0
