,Moran_CIDH920105.lag1,Moran_CIDH920105.lag2,Moran_CIDH920105.lag3,Moran_BHAR880101.lag1,Moran_BHAR880101.lag2,Moran_BHAR880101.lag3,Moran_CHAM820101.lag1,Moran_CHAM820101.lag2,Moran_CHAM820101.lag3,Moran_CHAM820102.lag1,Moran_CHAM820102.lag2,Moran_CHAM820102.lag3,Moran_CHOC760101.lag1,Moran_CHOC760101.lag2,Moran_CHOC760101.lag3,Moran_BIGC670101.lag1,Moran_BIGC670101.lag2,Moran_BIGC670101.lag3,Moran_CHAM810101.lag1,Moran_CHAM810101.lag2,Moran_CHAM810101.lag3,Moran_DAYM780201.lag1,Moran_DAYM780201.lag2,Moran_DAYM780201.lag3,y
peptide_nm_1,-0.2598784078408175,0.4010757481420106,0.161454943654102,-0.0340636532202171,0.3944250514961396,0.0904845425813398,-0.3263680811721669,-0.1657294665546728,0.4255743423035246,-0.51284332002728,0.2624580314776814,-0.2302355105622859,-0.3210327559313685,-0.146789398790466,0.3545648588338022,-0.4449179566140362,0.0613600023688264,0.2509475304986376,-0.474268352396138,0.4096849929063766,-0.5216466793511075,-0.1772485866027069,-0.4295100222717149,0.5355942498481474,0
peptide_nm_2,-0.2611868570448989,0.0231337876172848,-0.0239122293992235,-0.0636422414542772,-0.074716275713378,-0.494872653339502,-0.2070839779397003,-0.4126033651583685,0.4046244356003795,-0.0841654077081153,-0.1529123556941134,0.2196458670407117,-0.2837153296794553,-0.4049689722335464,0.4373193821624316,-0.3570159845236654,-0.4769264292082065,0.6352907375506915,0.0688451307817348,-0.2403844862098151,0.6332126496231711,0.4740082399575517,0.1809513405537002,-0.1003386497705921,0
peptide_nm_3,-0.1829182005625482,-0.0627913289113227,-0.1369086675882126,0.1279204140421061,0.0790934577829199,-0.251386083111264,0.1861052157243809,-0.094339044886757,-0.1816165679271331,-0.0974811238384295,-0.0679386619704271,-0.324184426355072,0.2920340619922126,-0.0956237544838581,-0.1736473694699083,0.1235400547291212,-0.1205888168965907,-0.2528647674964541,0.0706520442015323,-0.0839776605646912,-0.3239218119764193,-0.2195591007844037,0.3857798221605807,-0.0722903493186378,0
peptide_nm_4,-0.0175003689297116,-0.0227563437584937,-0.149349412285491,-0.075006484371731,0.1146776536379395,-0.0586129299536962,0.4452845899554051,0.3448660471013933,0.1517465069375258,-0.3517436513184837,0.2674977272596342,-0.3065281744929093,0.4678585541422363,0.2915298899086666,0.2150986653565872,0.5089821873794136,0.32241593970967,0.1897450029852653,0.2623058038521657,0.1194005571037625,-0.2481602227877729,0.1341716267886002,-0.3565977087282618,-0.1395331542379184,0
peptide_nm_5,-0.5660515761728502,0.1309065020968105,0.2839417419045277,-0.3187905649488274,0.0994933726028905,0.2207272104208059,-0.1847796028574597,0.0162950889268614,0.2494856217645552,-0.0915540892288089,-0.0149818608068035,-0.0425151475584087,-0.1063658827391958,-0.0226441650600555,0.2325722296141417,-0.3582018306979537,0.0553002889800163,0.2739901044555407,-0.1780607676698167,-0.0363261385583007,0.278481212277608,-0.5369636662043642,0.1127913967457917,-0.0383564352107582,0
peptide_nm_6,0.0999007636976628,-0.1237316760212305,-0.0298726612388209,0.2943990059229709,-0.1599167430840229,-0.3335007933927157,-0.0951727464566498,-0.2660594573867547,-0.2770559001954863,-0.3636753233219474,0.0614073726040384,-0.2421602885802584,0.0229454416671326,-0.1795710580310479,-0.2086160040261701,-0.0893499962153816,-0.2426429458439408,-0.3126428605376975,-0.0729651105262117,-0.2928636343569751,-0.0082222793928477,-0.2686294218565416,-0.137906419914434,0.1035879339637762,0
peptide_nm_7,-0.2556969405022171,-0.322204871128427,0.4080215260339024,-0.3122737346516155,-0.2555608883861544,0.1184038877111611,-0.1784397372795296,0.0400267397059225,-0.0009330588464311,-0.1883549348580441,-0.354973451338383,0.2475822985220112,-0.262813544617112,-0.1755995669338699,0.2100412792443719,-0.2072796041350645,-0.0329115150919057,0.1878428203024131,0.0427370664141115,-0.0732804545992659,0.4447368660698835,-0.2812616058313238,-0.2495388776613164,-0.1510140035956948,0
peptide_nm_8,-0.371405144517265,0.3056873504941346,-0.2935309483601356,-0.4415865278085529,0.07987084929252,-0.0777446351565564,0.4058035022693836,-0.1128583098862208,-0.2607952172299806,-0.3996529322927106,0.1001527017363798,-0.4384094032158692,0.3621803877493678,-0.1748886123710512,-0.37562409492727,0.2629387065395389,-0.0172489067160229,-0.1969735532940919,-0.2833292848533641,0.1434996118416551,-0.0101621296107959,0.3669600728062036,0.0500215706002296,0.2209722466922181,0
peptide_nm_9,0.0530413302607802,-0.0470537988898703,0.2349237805893254,0.2981587975447425,-0.0705804875206089,-0.0420676990611036,-0.5653114536958681,0.2249583449406842,-0.0943573516883792,0.4497398958049023,0.3473827880098383,-0.0624364692040879,-0.4993874455133745,0.1793964431789192,-0.1651415581365463,-0.435807600460372,0.1927126540012234,-0.147214792631677,-0.0376636355377157,0.2983614913296024,-0.4010677248616741,-0.3820138938283899,-0.3956083037810045,0.4853666143231547,0
peptide_nm_10,-0.446247405447135,0.0550476076271644,0.0759318864592336,-0.228028810266824,-0.1105137142264527,-0.2090733785138525,-0.1555567199371235,-0.4543123919308359,0.0324303554274734,-0.3350617697477432,0.0228293997540322,-0.1588080810829948,-0.0478312223321202,-0.4706665258265555,-0.1603112566458927,-0.0952442947474161,-0.4254305584911885,-0.2322649135504683,-0.2681491170699801,0.1510791366906474,-0.375699440447642,-0.5546643924092178,-0.0160052360811029,0.0169539238938426,0
