,Cougar__1,Cougar__2,Cougar__3,Cougar__4,Cougar__5,Cougar__6,Cougar__7,Cougar__8,Cougar__9,Cougar__10,Cougar__11,Cougar__12,Cougar__13,Cougar__14,Cougar__15,Cougar__16,Cougar__17,Cougar__18,Cougar__19,Cougar__20,Cougar__21,Cougar__22,Cougar__23,Cougar__24,Cougar__25,Cougar__26,Cougar__27,Cougar__28,Cougar__29,Cougar__30,y
peptide_nm_1,0.597650857142857,0.5829166923076923,0.6010764166666666,0.6019217272727272,0.6171374999999999,-0.2319364285714285,-0.1302976923076923,-0.0756575,-0.0571936363636364,-0.062948,1.4414414285714283,1.4416953846153846,1.4330958333333337,1.3515400000000002,1.407747,0.9979928571428572,0.1394076923076923,0.1207583333333333,0.4073545454545455,0.21332,-0.6245142857142852,-0.7752230769230769,-0.7382499999999999,-0.7554818181818181,-1.51131,4.280492857142857,3.787069230769231,3.819366666666666,3.9023,3.690899999999999,0
peptide_nm_2,0.4151549999999999,0.2577673333333333,0.2301338181818182,0.2192875,0.2527824444444444,-0.3510692307692306,-0.2040899999999999,-0.1697909090909091,0.1641839999999999,-0.1830822222222222,1.0177646153846154,1.0498658333333333,1.0252754545454543,0.893343,1.3933399999999998,1.3385615384615384,-0.2240833333333333,0.1696363636363636,-0.34856,0.1426666666666667,-1.0818230769230768,-0.2720249999999999,-0.8750545454545455,-0.79966,-0.9309888888888888,5.345423076923077,3.942249999999999,4.358145454545454,3.82551,3.3647666666666662,0
peptide_nm_3,0.3544933703703703,0.2650448461538461,0.2492205599999999,0.203578125,0.2282499999999999,0.0925007407407408,0.246465,0.2519287999999999,0.2826245833333334,0.2108065217391304,1.1205359259259258,1.0747042307692307,1.0578488,1.03176625,1.0984360869565215,0.9446777777777776,0.1193230769230769,0.321068,0.1574750000000001,0.0888782608695652,0.6480407407407408,0.6632961538461539,1.1283400000000003,1.1593583333333335,1.205121739130435,5.0052518518518525,4.630326923076923,4.591276000000001,4.691991666666667,4.657621739130435,0
peptide_nm_4,0.5417795833333333,0.4777040869565216,0.4890246363636363,0.5110052857142859,0.51513195,-0.2954529166666666,-0.1011208695652173,-0.1645168181818182,-0.2378071428571428,-0.2404265,1.6842558333333333,1.7618126086956525,1.6459531818181816,1.871928095238095,1.843636,0.6521666666666667,-0.0048260869565217,0.0270272727272727,0.0641047619047618,-0.073695,-0.8909916666666665,-0.919421739130435,-0.5966863636363636,-0.7972476190476191,-0.5570649999999999,6.456970833333333,5.766578260869564,5.914899999999999,5.842761904761905,5.916985,0
peptide_nm_5,0.3958841304347825,0.3232386363636363,0.3421613809523811,0.3566381999999999,0.307684947368421,-0.1873139130434782,-0.0155995454545454,-0.1072942857142857,-0.0389279999999999,-0.0475963157894736,1.3665321739130432,1.3475263636363637,1.389841428571429,1.3693240000000002,1.3266057894736842,0.858295652173913,-0.2262727272727272,-0.0376095238095238,0.203575,-0.2189684210526316,-0.5142260869565217,-0.2148681818181817,-0.2469380952380951,-0.4811899999999999,-0.2556736842105263,5.524465217391303,5.382159090909091,5.309909523809525,5.4246,5.188273684210526,0
peptide_nm_6,0.3635273571428571,0.2787155555555556,0.2189027692307691,0.19913888,0.2508431666666666,-0.2352121428571428,-0.0803455555555555,0.0079676923076923,0.107134,0.09688375,1.0843621428571428,1.0273092592592592,0.9557076923076924,1.0808984,0.9261179166666668,0.9655,0.140037037037037,-0.1207807692307692,0.1215359999999999,-0.1887666666666666,-0.3352357142857142,0.120737037037037,0.0862230769230769,-0.4393079999999999,0.2813833333333334,5.40982857142857,4.537755555555555,4.824184615384615,4.957548000000001,4.700699999999999,0
peptide_nm_7,0.4633160624999999,0.3667416666666667,0.3643362857142856,0.3647991538461538,0.4032847499999999,-0.44621625,-0.1304493333333333,-0.0757878571428571,-0.1706676923076923,-0.2696099999999999,1.531751875,1.473396,1.4656735714285714,1.4332138461538462,1.4579225000000002,1.5732375,-0.3089066666666668,-0.6939428571428571,0.4826230769230769,0.27785,-0.8575374999999997,-1.0168799999999998,-0.4605714285714284,-0.754976923076923,-0.6338666666666666,5.63155625,5.24652,5.446392857142858,5.396638461538462,5.288008333333333,0
peptide_nm_8,0.4634844375,0.3928286666666666,0.4222083571428571,0.3960854615384615,0.41578125,-0.0975425,0.1219393333333333,-0.0664635714285714,0.1971576923076923,0.0599433333333333,1.515261875,1.5215759999999998,1.429687857142857,1.4850000000000003,1.5720999999999998,1.2225875,-0.3441733333333334,0.2603214285714286,-0.6385384615384615,-0.0873999999999999,0.0811875,0.11162,0.2118785714285714,0.0175615384615385,-0.2628333333333334,5.426587499999999,5.2079933333333335,5.028635714285714,5.158776923076923,5.173158333333334,0
peptide_nm_9,0.4111962499999999,0.3690833333333333,0.3341071428571428,0.363904923076923,0.368206,-0.2465299999999999,-0.0545519999999999,0.0580764285714285,-0.0858492307692307,-0.0934316666666666,1.23310125,1.1895646666666664,1.203035,1.3285784615384617,1.3222699999999998,1.52980625,0.2197333333333333,-0.0825142857142856,0.2556923076923077,-0.2517166666666667,-0.0100312499999999,-0.1232333333333333,-0.0867357142857141,-0.3608923076923077,-0.5565749999999998,4.33719375,4.217906666666667,4.191278571428571,4.337661538461538,4.308258333333333,0
peptide_nm_10,0.4722593333333333,0.4085278181818181,0.4301639,0.4041281111111111,0.35416325,-0.6257441666666667,-0.5266227272727273,-0.425002,-0.4277933333333333,-0.3885249999999999,1.4115025,1.4097427272727272,1.4491119999999995,1.4014622222222224,1.3141925,1.5029833333333336,0.8426636363636365,0.0964,0.0346666666666667,0.71085,-1.553491666666667,-1.6831909090909092,-1.9319,-1.6217333333333337,-1.3529,4.754675,4.678272727272726,4.84549,4.836011111111111,4.810312499999999,0
