,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
peptide_nm_28,0.0555555555555555,0.0,0.1111111111111111,0.0555555555555555,0.0,0.0,0.0,0.0555555555555555,0.0,0.0555555555555555,0.1666666666666666,0.1111111111111111,0.0555555555555555,0.0,0.0555555555555555,0.1111111111111111,0.0,0.0,0.0,0.1666666666666666,0
peptide_nm_29,0.0555555555555555,0.1111111111111111,0.0555555555555555,0.1111111111111111,0.0,0.0555555555555555,0.1111111111111111,0.0,0.0,0.0555555555555555,0.0555555555555555,0.2222222222222222,0.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0,0.0555555555555555,0.0,0
peptide_nm_30,0.125,0.125,0.125,0.0625,0.0625,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.125,0.0,0.0625,0.0,0
peptide_nm_31,0.0294117647058823,0.0294117647058823,0.0,0.088235294117647,0.0294117647058823,0.0,0.0,0.1176470588235294,0.0,0.1176470588235294,0.0588235294117647,0.1176470588235294,0.0,0.0588235294117647,0.088235294117647,0.088235294117647,0.088235294117647,0.0,0.0294117647058823,0.0588235294117647,0
peptide_nm_32,0.0833333333333333,0.0,0.1666666666666666,0.0,0.0833333333333333,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0
peptide_nm_33,0.3076923076923077,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0
peptide_nm_34,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.2857142857142857,0
peptide_nm_35,0.125,0.0625,0.0,0.25,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0625,0.0625,0.125,0.0,0.0625,0.0,0
peptide_nm_36,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0833333333333333,0.0,0.25,0.0833333333333333,0.0,0.0,0.0,0
peptide_nm_37,0.1063829787234042,0.0212765957446808,0.0851063829787234,0.0638297872340425,0.0212765957446808,0.0,0.0212765957446808,0.1276595744680851,0.0,0.0851063829787234,0.1276595744680851,0.0425531914893617,0.0425531914893617,0.0212765957446808,0.0425531914893617,0.0638297872340425,0.0425531914893617,0.0,0.0,0.0851063829787234,0
