,PAAC_Xc1.A,PAAC_Xc1.R,PAAC_Xc1.N,PAAC_Xc1.D,PAAC_Xc1.C,PAAC_Xc1.Q,PAAC_Xc1.E,PAAC_Xc1.G,PAAC_Xc1.H,PAAC_Xc1.I,PAAC_Xc1.L,PAAC_Xc1.K,PAAC_Xc1.M,PAAC_Xc1.F,PAAC_Xc1.P,PAAC_Xc1.S,PAAC_Xc1.T,PAAC_Xc1.W,PAAC_Xc1.Y,PAAC_Xc1.V,PAAC_Xc2.lambda1,PAAC_Xc2.lambda2,PAAC_Xc2.lambda3,y
peptide_nm_1,0.0,0.8361050260610754,0.8361050260610754,0.8361050260610754,0.0,0.0,0.0,0.0,0.0,1.6722100521221508,0.0,0.8361050260610754,0.0,0.0,1.6722100521221508,2.508315078183226,2.508315078183226,0.0,0.0,0.0,0.0630716159540415,0.0590740567931169,0.0417493011917661,0
peptide_nm_2,0.0,0.7615050611108918,0.0,0.7615050611108918,0.0,0.7615050611108918,0.0,0.0,2.284515183332676,0.7615050611108918,0.7615050611108918,1.5230101222217836,0.0,0.7615050611108918,1.5230101222217836,0.0,0.0,0.0,0.0,0.0,0.0904507191619101,0.056916587408775,0.091127632318423,0
peptide_nm_3,4.146575351913223,0.8293150703826446,0.0,0.0,1.6586301407652893,0.8293150703826446,0.8293150703826446,3.3172602815305785,1.6586301407652893,1.6586301407652893,3.3172602815305785,0.8293150703826446,0.0,0.0,0.8293150703826446,0.0,0.0,0.0,0.0,2.4879452111479337,0.058693148536483,0.0506100840765163,0.061381697004356,0
peptide_nm_4,0.8222711585113263,0.0,1.6445423170226523,0.8222711585113263,0.0,1.6445423170226523,4.933626951067957,1.6445423170226523,0.0,0.0,0.8222711585113263,1.6445423170226523,0.8222711585113263,0.0,1.6445423170226523,0.8222711585113263,0.8222711585113263,0.8222711585113263,0.0,0.8222711585113263,0.065954375907876,0.0528327678540641,0.0589416977267335,0
peptide_nm_5,0.8028205543767473,0.0,1.6056411087534943,1.6056411087534943,0.0,1.6056411087534943,0.0,0.0,0.8028205543767473,1.6056411087534943,2.408461663130242,2.408461663130242,0.8028205543767473,0.0,0.0,1.6056411087534943,1.6056411087534943,0.0,1.6056411087534943,0.0,0.0723851650025824,0.065439094961011,0.0593551856596592,0
peptide_nm_6,0.7668446497829475,0.7668446497829475,1.533689299565895,1.533689299565895,0.0,1.533689299565895,2.3005339493488424,0.0,1.533689299565895,0.0,3.06737859913179,0.7668446497829475,0.7668446497829475,1.533689299565895,2.3005339493488424,0.0,0.0,1.533689299565895,0.0,1.533689299565895,0.0665749995078824,0.0867216210717665,0.0798587296374035,0
peptide_nm_7,0.7302551770785807,1.4605103541571614,1.4605103541571614,0.0,0.0,1.4605103541571614,1.4605103541571614,0.7302551770785807,0.0,0.0,2.9210207083143227,0.7302551770785807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7302551770785807,0.097365083868901,0.1172147005975988,0.0551650384549195,0
peptide_nm_8,0.0,0.7428401426510849,0.7428401426510849,0.7428401426510849,0.0,0.0,0.7428401426510849,0.7428401426510849,0.0,1.4856802853021698,0.7428401426510849,0.7428401426510849,0.0,0.0,0.0,0.7428401426510849,1.4856802853021698,0.0,0.7428401426510849,2.2285204279532547,0.0907029154175863,0.0671078498922547,0.099349092039074,0
peptide_nm_9,0.0,1.464593501358536,0.0,0.732296750679268,0.732296750679268,0.0,0.0,0.732296750679268,0.0,0.0,4.393780504075608,0.732296750679268,0.0,0.0,0.0,1.464593501358536,0.0,0.0,0.732296750679268,0.732296750679268,0.0887814240957689,0.0939363491591759,0.084985476065787,0
peptide_nm_10,0.7447472842974215,0.7447472842974215,0.0,0.7447472842974215,0.7447472842974215,0.0,0.0,0.0,0.0,0.0,0.0,2.978989137189686,0.0,0.7447472842974215,0.0,1.489494568594843,0.7447472842974215,0.0,0.0,0.0,0.0539183562206157,0.0992146442359313,0.1021197152460312,0
peptide_nm_11,0.0,0.0,0.7425281232108348,0.0,0.0,0.7425281232108348,0.0,0.7425281232108348,0.0,0.0,1.4850562464216697,1.4850562464216697,0.0,0.0,0.0,0.7425281232108348,0.7425281232108348,0.0,2.97011249284334,0.0,0.0882136775321508,0.0816719897378042,0.0875862095192102,0
peptide_nm_12,2.291426122247508,1.5276174148316717,0.7638087074158358,1.5276174148316717,0.0,0.0,1.5276174148316717,1.5276174148316717,0.7638087074158358,0.0,1.5276174148316717,0.7638087074158358,0.7638087074158358,2.291426122247508,0.0,2.291426122247508,2.291426122247508,0.0,0.0,0.0,0.0805512845335262,0.07512401155557,0.0805159964950677,0
peptide_nm_13,0.79457185041122,1.58914370082244,0.0,1.58914370082244,0.0,1.58914370082244,1.58914370082244,3.17828740164488,1.58914370082244,0.0,0.79457185041122,2.38371555123366,0.0,0.79457185041122,0.79457185041122,2.38371555123366,3.17828740164488,0.0,0.0,0.79457185041122,0.0697555656736669,0.0660872552892435,0.0695853286258695,0
peptide_nm_14,3.2195541037632247,0.0,1.6097770518816124,0.8048885259408062,0.0,0.0,0.8048885259408062,0.8048885259408062,0.0,0.0,2.414665577822418,1.6097770518816124,0.8048885259408062,0.0,0.8048885259408062,0.8048885259408062,0.8048885259408062,0.0,0.0,0.8048885259408062,0.0798390918205106,0.0470564495698474,0.0682159326688357,0
peptide_nm_15,2.596958165111023,0.0,0.8656527217036744,0.8656527217036744,0.0,0.0,0.0,5.193916330222046,1.7313054434073487,0.0,0.0,1.7313054434073487,0.0,0.8656527217036744,2.596958165111023,0.0,1.7313054434073487,0.0,0.0,1.7313054434073487,0.035760054079018,0.0436640517645759,0.0549231724527316,0
peptide_nm_16,0.0,0.0,0.0,1.6293303095606515,0.0,0.8146651547803258,3.258660619121303,0.8146651547803258,0.8146651547803258,0.8146651547803258,2.4439954643409774,0.0,0.0,0.0,1.6293303095606515,0.8146651547803258,0.8146651547803258,0.0,0.8146651547803258,0.8146651547803258,0.0742785515813586,0.0671436837464583,0.0439126098918571,0
peptide_nm_17,6.561135452360687,0.0,4.100709657725429,0.8201419315450859,0.0,0.8201419315450859,1.6402838630901715,3.2805677261803434,1.6402838630901715,1.6402838630901715,1.6402838630901715,7.381277383905772,1.6402838630901715,1.6402838630901715,9.84170317854103,9.021561246995944,2.460425794635257,0.8201419315450859,0.8201419315450859,4.920851589270515,0.0490740522905266,0.0694148072204874,0.0613692089439,0
peptide_nm_18,0.0,0.0,0.8131185269408798,1.6262370538817597,0.8131185269408798,0.8131185269408798,0.8131185269408798,0.8131185269408798,0.0,0.0,2.43935558082264,0.0,0.0,0.0,0.0,1.6262370538817597,0.0,0.0,0.8131185269408798,0.0,0.0662246351490113,0.0704245279497408,0.0502323099603679,0
peptide_nm_19,3.22652390099564,0.80663097524891,0.80663097524891,0.0,0.0,0.80663097524891,0.80663097524891,0.0,0.0,0.80663097524891,0.80663097524891,2.41989292574673,1.61326195049782,0.0,1.61326195049782,0.0,0.0,0.0,0.0,1.61326195049782,0.0607503051502916,0.0731436205460531,0.0594750990547452,0
peptide_nm_20,1.4276085002672068,1.4276085002672068,1.4276085002672068,0.7138042501336034,0.0,0.0,2.14141275040081,1.4276085002672068,0.0,0.0,0.7138042501336034,0.7138042501336034,0.0,0.0,0.7138042501336034,0.0,0.0,0.0,0.7138042501336034,2.14141275040081,0.099948253756825,0.0681693232619628,0.1180781728476087,0
peptide_nm_21,1.8024754142497008,0.0,1.8024754142497008,0.0,0.0,0.0,0.0,2.703713121374551,0.0,0.0,3.6049508284994016,0.0,0.9012377071248504,0.0,0.0,1.8024754142497008,2.703713121374551,0.0,0.0,0.9012377071248504,0.0390743522552458,0.020316301529291,0.0393716390906127,0
peptide_nm_22,0.7497532331764419,0.0,0.7497532331764419,1.499506466352884,0.0,0.0,0.0,4.498519399058652,0.0,1.499506466352884,0.7497532331764419,0.7497532331764419,0.0,0.0,0.0,0.7497532331764419,0.7497532331764419,0.7497532331764419,0.0,1.499506466352884,0.0750132306538158,0.0833916983588905,0.0918418378108517,0
peptide_nm_23,1.6323372414011152,0.0,0.0,1.6323372414011152,0.0,0.0,0.8161686207005576,0.8161686207005576,0.0,0.0,0.0,1.6323372414011152,0.0,0.8161686207005576,0.0,2.4485058621016726,2.4485058621016726,0.0,0.8161686207005576,1.6323372414011152,0.074266983080028,0.0398064252331278,0.0697579709862866,0
peptide_nm_24,1.5694371300802772,0.7847185650401386,0.0,0.0,0.0,1.5694371300802772,1.5694371300802772,0.0,0.0,1.5694371300802772,1.5694371300802772,0.0,0.0,0.7847185650401386,0.0,2.354155695120416,0.7847185650401386,0.0,0.7847185650401386,0.7847185650401386,0.0803273296594279,0.0624152256617926,0.0725388796386408,0
peptide_nm_25,0.0,0.6998595676962018,0.0,0.6998595676962018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6998595676962018,0.0,0.0,0.0,1.3997191353924037,0.0,0.1139326686421123,0.1630535388591661,0.0231542248025196,0
peptide_nm_26,0.0,0.0,0.7275535367744327,2.9102141470977307,0.0,0.0,1.4551070735488654,0.0,0.0,0.7275535367744327,0.7275535367744327,0.0,0.0,0.7275535367744327,0.0,0.7275535367744327,0.0,0.7275535367744327,0.7275535367744327,0.7275535367744327,0.106022098665865,0.0789357279053196,0.0874886366543826,0
peptide_nm_27,0.0,0.0,0.0,1.5514328936873445,0.0,0.7757164468436721,0.0,0.7757164468436721,0.0,1.5514328936873445,0.0,1.5514328936873445,0.0,0.7757164468436721,0.7757164468436721,1.5514328936873445,1.5514328936873445,0.0,0.0,0.0,0.0807048087404749,0.0820745834312222,0.0615041609846307,0
peptide_nm_28,0.8113666298439661,0.0,1.6227332596879325,0.8113666298439661,0.0,0.0,0.0,0.8113666298439661,0.0,0.8113666298439661,2.4340998895318986,1.6227332596879325,0.8113666298439661,0.0,0.8113666298439661,1.6227332596879325,0.0,0.0,0.0,2.4340998895318986,0.0612152449062766,0.0780950331180204,0.0493230921317367,0
peptide_nm_29,0.7544064034689595,1.508812806937919,0.7544064034689595,1.508812806937919,0.0,0.7544064034689595,1.508812806937919,0.0,0.0,0.7544064034689595,0.7544064034689595,3.017625613875838,0.0,0.0,0.0,0.7544064034689595,0.7544064034689595,0.0,0.7544064034689595,0.0,0.0562198481663958,0.0962362371315169,0.0931375112331275,0
peptide_nm_30,1.5250875225313396,1.5250875225313396,1.5250875225313396,0.7625437612656698,0.7625437612656698,0.0,0.0,1.5250875225313396,0.0,0.0,0.7625437612656698,0.0,0.0,0.7625437612656698,0.7625437612656698,0.0,1.5250875225313396,0.0,0.7625437612656698,0.0,0.0564383087581445,0.0875946551233726,0.093423274852813,0
peptide_nm_31,0.780787269825992,0.780787269825992,0.0,2.342361809477976,0.780787269825992,0.0,0.0,3.123149079303968,0.0,3.123149079303968,1.561574539651984,3.123149079303968,0.0,1.561574539651984,2.342361809477976,2.342361809477976,2.342361809477976,0.0,0.780787269825992,1.561574539651984,0.0711403286043195,0.0676893427696184,0.0803830588000698,0
peptide_nm_32,0.7923372832917815,0.0,1.584674566583563,0.0,0.7923372832917815,0.0,0.7923372832917815,1.584674566583563,0.0,0.0,0.7923372832917815,0.7923372832917815,0.0,0.0,0.7923372832917815,0.0,0.0,0.0,0.7923372832917815,0.7923372832917815,0.0659367386451844,0.0796896978040631,0.0620362802589707,0
peptide_nm_33,2.957375121600301,0.7393437804000752,0.0,0.7393437804000752,0.0,0.7393437804000752,0.7393437804000752,0.0,0.0,0.7393437804000752,1.4786875608001504,0.7393437804000752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7393437804000752,0.0645856676928454,0.1088428765698033,0.0872276753372759,0
peptide_nm_34,0.0,0.0,0.0,0.8781705839137303,0.0,0.0,0.0,0.0,0.0,0.0,0.8781705839137303,0.0,0.0,0.0,0.0,0.0,2.634511751741191,0.0,0.0,1.7563411678274603,0.0345413988941557,0.0418557633349604,0.0454322538571535,0
peptide_nm_35,1.541378585548442,0.770689292774221,0.0,3.082757171096884,0.770689292774221,0.0,0.0,0.770689292774221,0.0,0.0,0.770689292774221,0.770689292774221,0.0,0.0,0.770689292774221,0.770689292774221,1.541378585548442,0.0,0.770689292774221,0.0,0.0809173769272985,0.0662247240450817,0.0821686062533987,0
peptide_nm_36,0.0,0.7594901349484142,0.7594901349484142,0.7594901349484142,0.0,0.0,1.5189802698968284,0.0,0.0,1.5189802698968284,0.0,0.0,0.0,0.7594901349484142,0.0,2.2784704048452427,0.7594901349484142,0.0,0.0,0.0,0.091412232845402,0.0602310422595878,0.0888665899465959,0
peptide_nm_37,4.050940807918105,0.8101881615836208,3.240752646334484,2.4305644847508625,0.8101881615836208,0.0,0.8101881615836208,4.861128969501725,0.0,3.240752646334484,4.861128969501725,1.6203763231672417,1.6203763231672417,0.8101881615836208,1.6203763231672417,2.4305644847508625,1.6203763231672417,0.0,0.0,3.240752646334484,0.0657622630535712,0.0683917531612806,0.0556578222015272,0
peptide_nm_38,1.6296690344253113,0.8148345172126557,0.0,0.8148345172126557,3.2593380688506226,0.8148345172126557,4.074172586063279,0.8148345172126557,0.0,0.8148345172126557,1.6296690344253113,0.8148345172126557,0.8148345172126557,0.0,0.0,3.2593380688506226,1.6296690344253113,0.0,0.8148345172126557,0.0,0.0707300271929947,0.0507571732200354,0.0636782823743141,0
peptide_nm_39,0.7985885723528783,0.0,2.395765717058635,0.7985885723528783,0.0,0.0,1.5971771447057566,0.7985885723528783,0.7985885723528783,0.7985885723528783,1.5971771447057566,0.7985885723528783,0.7985885723528783,0.0,0.7985885723528783,0.0,0.0,0.0,0.7985885723528783,2.395765717058635,0.0502514892168646,0.0726953548338982,0.0784645835963588,0
